,Due,Future,Month,Pair
0,2000-02-15,CCH00,H,CCK00
1,2000-04-14,CCK00,K,CCN00
2,2000-06-19,CCN00,N,CCU00
3,2000-08-18,CCU00,U,CCZ00
4,2000-11-16,CCZ00,Z,CCH01
5,2001-02-14,CCH01,H,CCK01
6,2001-04-17,CCK01,K,CCN01
7,2001-06-18,CCN01,N,CCU01
8,2001-08-20,CCU01,U,CCZ01
9,2001-11-15,CCZ01,Z,CCH02
10,2002-02-14,CCH02,H,CCK02
11,2002-04-17,CCK02,K,CCN02
12,2002-06-17,CCN02,N,CCU02
13,2002-08-19,CCU02,U,CCZ02
14,2002-11-14,CCZ02,Z,CCH03
15,2003-02-14,CCH03,H,CCK03
16,2003-04-16,CCK03,K,CCN03
17,2003-06-17,CCN03,N,CCU03
18,2003-08-18,CCU03,U,CCZ03
19,2003-11-13,CCZ03,Z,CCH04
20,2004-02-13,CCH04,H,CCK04
21,2004-04-19,CCK04,K,CCN04
22,2004-06-17,CCN04,N,CCU04
23,2004-08-18,CCU04,U,CCZ04
24,2004-11-15,CCZ04,Z,CCH05
25,2005-02-14,CCH05,H,CCK05
26,2005-04-18,CCK05,K,CCN05
27,2005-06-17,CCN05,N,CCU05
28,2005-08-18,CCU05,U,CCZ05
29,2005-11-15,CCZ05,Z,CCH06
30,2006-02-14,CCH06,H,CCK06
31,2006-04-17,CCK06,K,CCN06
32,2006-06-19,CCN06,N,CCU06
33,2006-08-18,CCU06,U,CCZ06
34,2006-11-15,CCZ06,Z,CCH07
35,2007-02-14,CCH07,H,CCK07
36,2007-04-17,CCK07,K,CCN07
37,2007-06-18,CCN07,N,CCU07
38,2007-08-20,CCU07,U,CCZ07
39,2007-11-15,CCZ07,Z,CCH08
40,2008-02-15,CCH08,H,CCK08
41,2008-04-17,CCK08,K,CCN08
42,2008-06-17,CCN08,N,CCU08
43,2008-08-18,CCU08,U,CCZ08
44,2008-11-14,CCZ08,Z,CCH09
45,2009-02-13,CCH09,H,CCK09
46,2009-04-17,CCK09,K,CCN09
47,2009-06-17,CCN09,N,CCU09
48,2009-08-18,CCU09,U,CCZ09
49,2009-11-16,CCZ09,Z,CCH10
50,2010-02-12,CCH10,H,CCK10
51,2010-04-19,CCK10,K,CCN10
52,2010-06-17,CCN10,N,CCU10
53,2010-08-18,CCU10,U,CCZ10
54,2010-11-16,CCZ10,Z,CCH11
55,2011-02-14,CCH11,H,CCK11
56,2011-04-15,CCK11,K,CCN11
57,2011-06-17,CCN11,N,CCU11
58,2011-08-18,CCU11,U,CCZ11
59,2011-11-16,CCZ11,Z,CCH12
60,2012-02-15,CCH12,H,CCK12
61,2012-04-17,CCK12,K,CCN12
62,2012-06-18,CCN12,N,CCU12
63,2012-08-20,CCU12,U,CCZ12
64,2012-11-16,CCZ12,Z,CCH13
65,2013-02-14,CCH13,H,CCK13
66,2013-04-17,CCK13,K,CCN13
67,2013-06-17,CCN13,N,CCU13
68,2013-08-19,CCU13,U,CCZ13
69,2013-11-15,CCZ13,Z,CCH14
70,2014-02-14,CCH14,H,CCK14
71,2014-04-16,CCK14,K,CCN14
72,2014-06-17,CCN14,N,CCU14
73,2014-08-18,CCU14,U,CCZ14
74,2014-11-14,CCZ14,Z,CCH15
75,2015-02-13,CCH15,H,CCK15
76,2015-04-17,CCK15,K,CCN15
77,2015-06-17,CCN15,N,CCU15
78,2015-08-18,CCU15,U,CCZ15
79,2015-11-16,CCZ15,Z,CCH16
80,2016-02-16,CCH16,H,CCK16
81,2016-04-18,CCK16,K,CCN16
82,2016-06-17,CCN16,N,CCU16
83,2016-08-18,CCU16,U,CCZ16
84,2016-11-16,CCZ16,Z,CCH17
85,2017-02-14,CCH17,H,CCK17
86,2017-04-17,CCK17,K,CCN17
87,2017-06-19,CCN17,N,CCU17
88,2017-08-18,CCU17,U,CCZ17
89,2017-11-16,CCZ17,Z,CCH18
90,2018-02-14,CCH18,H,CCK18
91,2018-04-17,CCK18,K,CCN18
92,2018-06-18,CCN18,N,CCU18
93,2018-08-20,CCU18,U,CCZ18
94,2018-11-16,CCZ18,Z,CCH19
95,2019-02-14,CCH19,H,CCK19
96,2019-04-16,CCK19,K,CCN19
97,2019-06-17,CCN19,N,CCU19
98,2019-08-19,CCU19,U,CCZ19
99,2019-11-15,CCZ19,Z,CCH20
100,2020-02-14,CCH20,H,CCK20
101,2020-04-17,CCK20,K,CCN20
102,2020-06-17,CCN20,N,CCU20
103,2020-08-18,CCU20,U,CCZ20
104,2020-11-16,CCZ20,Z,CCH21
105,2021-02-12,CCH21,H,CCK21
106,2021-04-19,CCK21,K,CCN21
107,2021-06-17,CCN21,N,CCU21
108,2021-08-18,CCU21,U,CCZ21
109,2021-11-16,CCZ21,Z,CCH22
110,2022-02-22,CCH22,H,CCK22
111,2022-04-25,CCK22,K,CCN22
112,2022-06-24,CCN22,N,CCU22
113,2022-08-25,CCU22,U,CCZ22
114,2022-11-23,CCZ22,Z,CCH23
115,2023-02-22,CCH23,H,CCK23
116,2023-04-24,CCK23,K,CCN23
117,2023-06-26,CCN23,N,CCU23
118,2023-08-25,CCU23,U,CCZ23
