,Due,Future,Month
0,2000-02-29,SIH00,H
1,2000-04-28,SIK00,K
2,2000-06-30,SIN00,N
3,2000-08-31,SIU00,U
4,2000-11-30,SIZ00,Z
5,2001-02-28,SIH01,H
6,2001-04-30,SIK01,K
7,2001-06-29,SIN01,N
8,2001-08-31,SIU01,U
9,2001-11-30,SIZ01,Z
10,2002-02-28,SIH02,H
11,2002-04-30,SIK02,K
12,2002-06-28,SIN02,N
13,2002-08-30,SIU02,U
14,2002-11-27,SIZ02,Z
15,2003-02-28,SIH03,H
16,2003-04-30,SIK03,K
17,2003-06-30,SIN03,N
18,2003-08-29,SIU03,U
19,2003-11-26,SIZ03,Z
20,2004-02-27,SIH04,H
21,2004-04-30,SIK04,K
22,2004-06-30,SIN04,N
23,2004-08-31,SIU04,U
24,2004-11-30,SIZ04,Z
25,2005-02-28,SIH05,H
26,2005-04-29,SIK05,K
27,2005-06-30,SIN05,N
28,2005-08-31,SIU05,U
29,2005-11-30,SIZ05,Z
30,2006-02-28,SIH06,H
31,2006-04-28,SIK06,K
32,2006-06-30,SIN06,N
33,2006-08-31,SIU06,U
34,2006-11-30,SIZ06,Z
35,2007-02-28,SIH07,H
36,2007-04-30,SIK07,K
37,2007-06-29,SIN07,N
38,2007-08-31,SIU07,U
39,2007-11-30,SIZ07,Z
40,2008-02-29,SIH08,H
41,2008-04-30,SIK08,K
42,2008-06-30,SIN08,N
43,2008-08-29,SIU08,U
44,2008-11-28,SIZ08,Z
45,2009-02-27,SIH09,H
46,2009-04-30,SIK09,K
47,2009-06-30,SIN09,N
48,2009-08-31,SIU09,U
49,2009-11-30,SIZ09,Z
50,2010-02-26,SIH10,H
51,2010-04-30,SIK10,K
52,2010-06-30,SIN10,N
53,2010-08-31,SIU10,U
54,2010-11-30,SIZ10,Z
55,2011-02-28,SIH11,H
56,2011-04-29,SIK11,K
57,2011-06-30,SIN11,N
58,2011-08-31,SIU11,U
59,2011-11-30,SIZ11,Z
60,2012-02-29,SIH12,H
61,2012-04-30,SIK12,K
62,2012-06-29,SIN12,N
63,2012-08-31,SIU12,U
64,2012-11-30,SIZ12,Z
65,2013-02-28,SIH13,H
66,2013-04-30,SIK13,K
67,2013-06-28,SIN13,N
68,2013-08-30,SIU13,U
69,2013-11-29,SIZ13,Z
70,2014-02-28,SIH14,H
71,2014-04-30,SIK14,K
72,2014-06-30,SIN14,N
73,2014-08-29,SIU14,U
74,2014-11-28,SIZ14,Z
75,2015-02-27,SIH15,H
76,2015-04-30,SIK15,K
77,2015-06-30,SIN15,N
78,2015-08-31,SIU15,U
79,2015-11-30,SIZ15,Z
80,2016-02-29,SIH16,H
81,2016-04-29,SIK16,K
82,2016-06-30,SIN16,N
83,2016-08-31,SIU16,U
84,2016-11-30,SIZ16,Z
85,2017-02-28,SIH17,H
86,2017-04-28,SIK17,K
87,2017-06-30,SIN17,N
88,2017-08-31,SIU17,U
89,2017-11-30,SIZ17,Z
90,2018-02-28,SIH18,H
91,2018-04-30,SIK18,K
92,2018-06-29,SIN18,N
93,2018-08-31,SIU18,U
94,2018-11-30,SIZ18,Z
95,2019-02-28,SIH19,H
96,2019-04-30,SIK19,K
97,2019-06-28,SIN19,N
98,2019-08-30,SIU19,U
99,2019-11-29,SIZ19,Z
100,2020-02-28,SIH20,H
101,2020-04-30,SIK20,K
102,2020-06-30,SIN20,N
103,2020-08-31,SIU20,U
104,2020-11-30,SIZ20,Z
105,2021-02-26,SIH21,H
106,2021-04-30,SIK21,K
107,2021-06-30,SIN21,N
108,2021-08-31,SIU21,U
109,2021-11-30,SIZ21,Z
110,2022-02-28,SIH22,H
111,2022-04-29,SIK22,K
112,2022-06-30,SIN22,N
113,2022-08-31,SIU22,U
114,2022-11-30,SIZ22,Z
115,2023-02-28,SIH23,H
116,2023-04-28,SIK23,K
117,2023-06-30,SIN23,N
118,2023-08-31,SIU23,U
119,2023-10-31,SIZ23,Z
