,Due,Future,Month
0,1999-12-30,BOF00,F
1,2000-02-29,BOH00,H
2,2000-04-28,BOK00,K
3,2000-06-30,BON00,N
4,2000-11-30,BOZ00,Z
5,2000-12-29,BOF01,F
6,2001-02-28,BOH01,H
7,2001-04-30,BOK01,K
8,2001-06-29,BON01,N
9,2001-11-30,BOZ01,Z
10,2001-12-31,BOF02,F
11,2002-02-28,BOH02,H
12,2002-04-30,BOK02,K
13,2002-06-28,BON02,N
14,2002-11-29,BOZ02,Z
15,2002-12-31,BOF03,F
16,2003-02-28,BOH03,H
17,2003-04-30,BOK03,K
18,2003-06-30,BON03,N
19,2003-11-28,BOZ03,Z
20,2003-12-31,BOF04,F
21,2004-02-27,BOH04,H
22,2004-04-30,BOK04,K
23,2004-06-30,BON04,N
24,2004-11-30,BOZ04,Z
25,2004-12-30,BOF05,F
26,2005-02-28,BOH05,H
27,2005-04-29,BOK05,K
28,2005-06-30,BON05,N
29,2005-11-30,BOZ05,Z
30,2005-12-30,BOF06,F
31,2006-02-28,BOH06,H
32,2006-04-28,BOK06,K
33,2006-06-30,BON06,N
34,2006-11-30,BOZ06,Z
35,2006-12-29,BOF07,F
36,2007-02-28,BOH07,H
37,2007-04-30,BOK07,K
38,2007-06-29,BON07,N
39,2007-11-30,BOZ07,Z
40,2007-12-31,BOF08,F
41,2008-02-29,BOH08,H
42,2008-04-30,BOK08,K
43,2008-06-30,BON08,N
44,2008-11-28,BOZ08,Z
45,2008-12-31,BOF09,F
46,2009-02-27,BOH09,H
47,2009-04-30,BOK09,K
48,2009-06-30,BON09,N
49,2009-11-30,BOZ09,Z
50,2009-12-31,BOF10,F
51,2010-02-26,BOH10,H
52,2010-04-30,BOK10,K
53,2010-06-30,BON10,N
54,2010-11-30,BOZ10,Z
55,2010-12-31,BOF11,F
56,2011-02-28,BOH11,H
57,2011-04-29,BOK11,K
58,2011-06-30,BON11,N
59,2011-11-30,BOZ11,Z
60,2011-12-30,BOF12,F
61,2012-02-29,BOH12,H
62,2012-04-30,BOK12,K
63,2012-06-29,BON12,N
64,2012-11-30,BOZ12,Z
65,2012-12-31,BOF13,F
66,2013-02-28,BOH13,H
67,2013-04-30,BOK13,K
68,2013-06-28,BON13,N
69,2013-11-29,BOZ13,Z
70,2013-12-31,BOF14,F
71,2014-02-28,BOH14,H
72,2014-04-30,BOK14,K
73,2014-06-30,BON14,N
74,2014-11-28,BOZ14,Z
75,2014-12-31,BOF15,F
76,2015-02-27,BOH15,H
77,2015-04-30,BOK15,K
78,2015-06-30,BON15,N
79,2015-11-30,BOZ15,Z
80,2015-12-31,BOF16,F
81,2016-02-29,BOH16,H
82,2016-04-29,BOK16,K
83,2016-06-30,BON16,N
84,2016-11-30,BOZ16,Z
85,2016-12-30,BOF17,F
86,2017-02-28,BOH17,H
87,2017-04-28,BOK17,K
88,2017-06-30,BON17,N
89,2017-11-30,BOZ17,Z
90,2017-12-29,BOF18,F
91,2018-02-28,BOH18,H
92,2018-04-30,BOK18,K
93,2018-06-29,BON18,N
94,2018-11-30,BOZ18,Z
95,2018-12-31,BOF19,F
96,2019-02-28,BOH19,H
97,2019-04-30,BOK19,K
98,2019-06-28,BON19,N
99,2019-11-29,BOZ19,Z
100,2019-12-31,BOF20,F
101,2020-02-28,BOH20,H
102,2020-04-30,BOK20,K
103,2020-06-30,BON20,N
104,2020-11-30,BOZ20,Z
105,2020-12-31,BOF21,F
106,2021-02-26,BOH21,H
107,2021-04-30,BOK21,K
108,2021-06-30,BON21,N
109,2021-11-30,BOZ21,Z
110,2021-12-31,BOF22,F
111,2022-02-28,BOH22,H
112,2022-04-29,BOK22,K
113,2022-06-30,BON22,N
114,2022-11-30,BOZ22,Z
115,2022-12-30,BOF23,F
116,2023-02-28,BOH23,H
117,2023-04-28,BOK23,K
118,2023-06-30,BON23,N
119,2023-10-31,BOZ23,Z
