,Distance,Due_Shift,STD,Cuml_PnL,Sharp_Ratio
128,6,6,469590.8296051872,-1645.0865907966322,-0.08428614339270037
129,1,3,462341.25420996157,-1345.3073929961106,-0.08902515106581467
130,4,2,498927.45114610065,-1822.535748331746,-0.09123570951134224
131,5,7,461551.9979795352,-2037.1182510765136,-0.1057518984072606
132,2,2,512638.2984960907,-2254.736842105264,-0.11042873731064343
133,10,2,469661.2809514673,-2158.1915410792412,-0.11252790498917299
134,4,8,459012.48448889557,-2235.76110464149,-0.1161842037028301
135,5,9,446012.3569678806,-2220.799210656143,-0.12015362167165085
136,3,11,440311.81019475765,-2494.3148357870905,-0.13894698843744172
137,4,10,441585.97319981,-2578.8960716061683,-0.1398142236100053
138,9,5,443215.31542854395,-2487.0146664563945,-0.14119548179306826
139,11,3,444366.6335595491,-2921.0169491525435,-0.16621409984893054
140,8,6,446268.1410147325,-3077.751365242528,-0.17039083235271696
141,7,7,445080.90047377726,-3477.5918433403444,-0.19158314793834608
142,6,8,448236.8363494184,-3613.9722089123134,-0.20031820840803255
143,12,2,445499.17403673707,-3505.080205575455,-0.2004717521488272
