,Distance,Due_Shift,STD,Cuml_PnL,Sharp_Ratio
0,12,11,502277.11499322567,4660.119402985071,0.2220089203178287
1,11,9,509151.79319196113,4467.216494845357,0.21276562598524953
2,9,11,494596.0194581547,4175.407894736839,0.2036813804331942
3,10,10,506357.1480475366,4163.839683325083,0.19784454586310105
4,12,10,511859.29329913144,3805.6122954883454,0.17852562451493342
5,8,0,489075.15645684017,3209.5329119778,0.1689310914881668
6,12,9,533989.0384339204,3672.320105384487,0.16573373914107337
7,11,11,561295.3772990257,4970.795966530784,0.16379967432195622
8,10,9,524364.6683795725,4529.993615662903,0.16109018226005747
9,8,11,513986.9964198949,4169.987085665084,0.14957576852234958
10,9,10,519529.45214010874,4116.575342465748,0.14690216249649235
11,10,11,580245.0655405812,4379.14948453608,0.1394410824064841
12,12,8,517662.21228047414,2950.772727272726,0.13933796651342067
13,7,0,505708.12465083465,2796.6387616490288,0.13893389600673492
14,11,10,585030.5679820384,4324.690303289189,0.13734325075893614
15,2,0,537929.1353579273,2753.3839244231067,0.13115110404469435
16,4,4,479362.58942771686,2440.6993006993002,0.12712715039517938
17,3,0,533813.3469837949,2642.88840262582,0.12569936735215606
18,12,7,461646.43134827545,2151.905532190229,0.11435158254299196
19,10,0,490852.25366681674,2091.1065117019602,0.10618266415331228
20,3,4,492888.1229507437,1967.5602700096445,0.09856192052096745
21,11,8,518042.8263679921,2573.855268726194,0.09317762459606253
22,5,0,507427.8426234605,1735.8096415327548,0.0878548559131407
23,9,0,490925.4672132052,1699.6093377798952,0.08651007706136297
24,11,0,474968.2847980394,1573.9341741002797,0.08550044560821107
25,9,9,484891.5265059687,2165.1384746484837,0.08317324142702562
26,7,1,488504.086720189,1549.6551724137905,0.08104333428571038
27,3,5,478739.05540464015,1392.287108452698,0.07331760299007299
28,1,0,497609.6037573533,1112.7647657841146,0.06971328474784766
29,7,11,478277.27479476796,1777.7375565610816,0.06845401553742833
30,8,10,481025.970797091,1737.5958860081364,0.06689867481931498
31,6,4,485076.98073020723,1242.8515878159458,0.06275292625549336
32,1,1,482891.561566543,885.9274399591201,0.05699002051459058
33,6,0,512780.453809877,1140.5103969754236,0.05602787662154562
34,6,1,500570.43753089017,1088.6815801999037,0.05439793874826979
35,1,4,452321.1631127778,751.2106222337926,0.05062774388535584
36,5,3,480135.71435209323,946.4900662251624,0.049610973081107304
37,2,5,485708.1575864087,924.7184121349043,0.04681823775206926
38,9,4,512041.17588283285,1249.7646323682582,0.046500166630053054
39,12,0,465459.43549879285,834.1531322505804,0.0459760794774038
40,2,1,523587.74282361794,952.2197802197782,0.045971282425739404
41,2,6,477598.41272414906,880.129115558426,0.04531003333233196
42,5,4,476104.78989958356,846.6515837104081,0.04366685746720778
43,11,4,498769.5378313132,1109.4076075659966,0.042464501926264865
44,12,6,422912.22863662936,726.5011286681726,0.04227827617480106
45,12,4,435233.98346531595,716.3492315005539,0.04121920778603363
46,7,4,463720.19620239356,756.3596004439548,0.04082203051544034
47,8,9,422819.50487364724,641.9881889763745,0.0367296206087768
48,4,0,516988.70316264033,696.643159379407,0.034120668192725655
49,1,9,419648.2680671981,461.5471698113214,0.03238426328456539
50,1,7,431593.2650261529,414.81894150417816,0.028753924135604847
51,4,3,490133.0203906287,462.0671999999986,0.023381407746955137
52,1,6,438570.21549105935,309.1697514542594,0.021159667647766323
53,9,1,485371.17442252894,366.33296017911476,0.018727935400809203
54,6,11,427028.278640785,326.3545914206456,0.018593616388293148
55,11,7,472502.57508275757,459.09856781802813,0.018306778536571925
56,7,10,421079.8946573765,307.49999999999505,0.017526365171162652
57,6,2,486203.9625634877,327.87812840043375,0.01721499749995769
58,12,5,421664.3768668874,261.97424892703657,0.015509965647547507
59,2,4,492405.0725242186,284.7571726238172,0.014317480451327465
60,4,9,508501.415148567,375.65217391304236,0.013687277542711464
61,5,5,475381.60741384176,188.579795021964,0.009676436631667024
62,6,9,493880.6656839618,233.20367599914422,0.008767300080482975
63,10,8,485016.90124126256,220.45329379368602,0.008515167181659873
64,12,1,456191.56186377857,96.23098416640715,0.005392471509007327
65,2,9,459855.82409260375,86.40949554896312,0.004523156804862342
66,4,1,507971.54146956746,60.812704343761695,0.003051352041328454
67,7,9,490984.9113406946,58.64218616566673,0.0022200274892838425
68,8,4,462709.58735407714,-11.536952256375594,-0.0006051311830409721
69,8,1,478013.6170784351,-22.510767267508015,-0.0011715147434976582
70,2,11,506113.07266649464,-34.39341421143978,-0.0012447811250573349
71,3,10,513870.09067086026,-64.60146488582804,-0.0023157603869228952
72,8,5,511800.2091663671,-107.1105527638184,-0.003966391501297941
73,10,1,473711.552717287,-94.50488145048654,-0.005108594008565852
74,4,11,492994.2923955007,-177.58754863813334,-0.006612652621512929
75,5,10,495837.4313580636,-206.93035253654614,-0.007704138006558603
76,5,2,488257.20718994515,-160.18480165684224,-0.008171922382802182
77,10,5,507900.5327822091,-245.3656498119506,-0.009175024831088766
78,4,5,472944.9552138124,-206.49034561090366,-0.010677775382373952
79,5,11,504505.59006695374,-353.70330382207254,-0.012883900848625772
80,7,3,477305.1995918866,-271.50967741935455,-0.013995238278802823
81,6,10,503783.62654160167,-382.0313506549336,-0.014013952871922284
82,1,10,414474.7006221842,-206.90382794535347,-0.01464504345111554
83,6,5,468499.8648338894,-273.4484924623086,-0.01474920382837234
84,1,2,472328.60940836644,-232.22064699059223,-0.015137766075521088
85,11,5,486328.5409175992,-415.52911709455407,-0.01624416281449245
86,11,6,417813.5102623879,-279.4167601345933,-0.01656241320596409
87,4,6,472136.70832897024,-364.88315084163605,-0.01876575119811805
88,10,3,510940.6936324173,-694.5785876993183,-0.026049990078839867
89,2,3,499996.6083247898,-566.372688477955,-0.028440192919794768
90,5,1,496104.2008006248,-570.1898734177242,-0.02882458962637766
91,7,6,512944.53678168857,-822.1314237573675,-0.03019819666505686
92,6,3,484394.1531751992,-662.0270270270287,-0.03371221533735914
93,9,6,506952.5256812786,-959.697351828495,-0.03574299186230305
94,12,3,444902.0300867171,-634.1774550047373,-0.035828112532759436
95,3,9,459957.699717207,-721.3836898395733,-0.03724255515351077
96,10,7,428076.57476036187,-657.0552147239272,-0.03772689502816365
97,3,7,472552.72512070043,-748.0603872661601,-0.03828144255305973
98,3,6,476372.02205597865,-760.3129584352051,-0.03885618622208845
99,8,3,462352.74963723676,-721.0759792354872,-0.039342255484090656
100,1,5,444822.45803177124,-621.8912529550839,-0.04224157225141265
101,10,6,500540.1768851827,-1130.1112744068848,-0.04267389709437785
102,5,6,463500.60759505484,-826.4756077926204,-0.04394816245375121
103,11,1,468718.9297668119,-879.5804421494282,-0.04614705877307104
104,8,2,475106.1663768923,-895.5773245543581,-0.04657906288348331
105,6,7,521544.3511802352,-1318.9582892229491,-0.04739769483469532
106,2,8,465834.6092617963,-939.1330146695212,-0.048536539686971296
107,9,8,425831.836226356,-838.6475607792644,-0.048540288070459486
108,3,1,518344.66768282786,-1007.1273414135072,-0.04898285172586369
109,8,7,499941.3205628441,-1456.2011409254146,-0.05470642028390205
110,2,10,454103.68685647857,-1069.4242068155136,-0.0556701051581418
111,11,2,511037.6348882545,-1492.4876441515646,-0.05627765557088328
112,7,5,462549.6725075654,-1080.6501395501555,-0.05646961083854788
113,5,8,512589.1480792132,-1569.0971039182273,-0.05704373592294889
114,3,2,507041.8609551737,-1164.9797444686835,-0.05851587863792393
115,2,7,471584.8534678829,-1144.104746317511,-0.058822924010406515
116,3,3,499870.83202936704,-1209.1335567257092,-0.06015554033813577
117,1,11,409107.60506406653,-854.4013166918129,-0.06042420061130093
118,9,7,502394.9199366541,-1626.9902912621362,-0.06088835453164421
119,4,7,462251.24840051343,-1210.1232965606705,-0.06403444036640706
120,7,8,486365.36990167305,-1706.595835104121,-0.06552686924737884
121,7,2,480372.5217508987,-1282.8063431042767,-0.06615698975487985
122,8,8,497064.75512666634,-1878.0980683506702,-0.07063466004756865
123,9,2,469672.4192734954,-1314.7146401985083,-0.07162438887093983
124,3,8,456703.4223107869,-1367.4045801526686,-0.07470931535253801
125,1,8,425381.1774543836,-1088.580610605249,-0.07583786427282492
126,9,3,467478.02895706927,-1533.9843750000016,-0.08000375992736689
127,10,4,445403.6930179623,-1464.485922176525,-0.08248696761146591
