,Distance,std,cuml_pnl,sharp_ratio
0,12,589115.5844447477,-253.2041496384709,-0.01085084178519019
1,2,640820.87644213,-1240.2846377699484,-0.0501453700734762
2,9,599045.4159295096,-1460.3344978165837,-0.062027684399094216
3,11,605981.3224696795,-1701.835522809211,-0.07109030988682877
4,6,624731.3346853805,-1735.2189473684168,-0.07120212726707789
5,7,602666.9818112075,-2691.078479441425,-0.11420137833527488
6,10,594203.6357361854,-2911.22064112587,-0.1243311140438732
7,3,644926.7528987087,-3255.8152334152296,-0.13045574496924917
8,4,620393.2957405155,-3362.9254503464163,-0.1397104072450399
9,8,600346.7148739554,-3985.707247278379,-0.1694001107699105
10,1,606416.6156678381,-3388.074432601879,-0.176812107765085
11,5,614699.6410397392,-4484.192004939032,-0.18755501435626618
