,Date,CCH00,CCU00,CCK00,CCZ00,CCN00,CCH01,CCK01,CCN01,CCU01,CCZ01,CCH02,CCK02,CCN02,CCU02,CCZ02,CCH03,CCK03,CCN03,CCU03,CCZ03,CCH04,CCK04,CCN04,CCU04,CCZ04,CCH05,CCK05,CCN05,CCU05,CCZ05,CCH06,CCK06,CCN06,CCU06,CCZ06,CCH07,CCK07,CCN07,CCU07,CCZ07,CCH08,CCK08,CCN08,CCU08,CCZ08,CCH09,CCK09,CCN09,CCU09,CCZ09,CCH10,CCK10,CCN10,CCU10,CCZ10,CCH11,CCK11,CCN11,CCU11,CCZ11,CCH12,CCK12,CCN12,CCU12,CCZ12,CCH13,CCK13,CCN13,CCU13,CCZ13,CCH14,CCK14,CCN14,CCU14,CCZ14,CCH15,CCK15,CCN15,CCU15,CCZ15,CCH16,CCK16,CCN16,CCU16,CCZ16,CCH17,CCK17,CCN17,CCU17,CCZ17,CCH18,CCK18,CCN18,CCU18,CCZ18,CCH19,CCK19,CCN19,CCU19,CCZ19,CCH20,CCK20,CCN20,CCU20,CCZ20,CCH21,CCK21,CCN21,CCU21,CCZ21,CCH22,CCK22,CCN22,CCU22,CCZ22,CCH23,CCK23,CCN23,CCU23,CCZ23,PnL,PNL,IS_ROLLING,Day
0,1999-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,
1,1999-03-01,40.0,-35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,50.0,,
2,1999-03-02,-180.0,185.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,50.0,,
3,1999-03-03,-260.0,265.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,50.0,,
4,1999-03-04,-230.0,235.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,50.0,,
5,1999-03-05,-260.0,265.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,50.0,,
6,1999-03-08,-215.0,220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,50.0,,
7,1999-03-09,-215.0,220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,50.0,,
8,1999-03-10,-365.0,320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-45.0,-450.0,,
9,1999-03-11,-345.0,365.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,200.0,,
10,1999-03-12,-330.0,350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,200.0,,
