,Date,Value,Payload,Daily_Gain,Missing_Price,No_Tradable_Day,Market_Out,Change (%),Cum_Gain
0,1999-11-01,360.0,"{'long_future': 'LTF00', 'short_future': 'LTF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",,False,False,False,,
1,1999-11-02,665.0,"{'long_future': 'LTF00', 'short_future': 'LTF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",1525.0,False,False,False,,1525.0
2,1999-11-03,795.0,"{'long_future': 'LTF00', 'short_future': 'LTF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",650.0,False,False,False,-0.5737704918032787,2175.0
3,1999-11-04,565.0,"{'long_future': 'LTF00', 'short_future': 'LTF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-1150.0,False,False,False,-2.769230769230769,1025.0
4,1999-11-05,590.0,"{'long_future': 'LTF00', 'short_future': 'LTF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",125.0,False,False,False,-1.108695652173913,1150.0
5,1999-11-08,775.0,"{'long_future': 'LTF00', 'short_future': 'LTF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",925.0,False,False,False,6.4,2075.0
6,1999-11-09,750.0,"{'long_future': 'LTF00', 'short_future': 'LTF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-125.0,False,False,False,-1.135135135135135,1950.0
7,1999-11-10,640.0,"{'long_future': 'LTF00', 'short_future': 'LTF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-550.0,False,False,False,3.4000000000000004,1400.0
8,1999-11-11,650.0,"{'long_future': 'LTF00', 'short_future': 'LTF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",50.0,False,False,False,-1.0909090909090908,1450.0
9,1999-11-12,380.0,"{'long_future': 'LTF00', 'short_future': 'LTF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-1350.0,False,False,False,-28.0,100.0
10,1999-11-15,415.0,"{'long_future': 'LTF00', 'short_future': 'LTF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",175.0,False,False,False,-1.1296296296296295,275.0
11,1999-11-16,370.0,"{'long_future': 'LTF00', 'short_future': 'LTF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-225.0,False,False,False,-2.2857142857142856,50.0
12,1999-11-17,360.0,"{'long_future': 'LTF00', 'short_future': 'LTF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-50.0,False,False,False,-0.7777777777777778,0.0
13,1999-11-18,315.0,"{'long_future': 'LTF00', 'short_future': 'LTF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-225.0,False,False,False,3.5,-225.0
14,1999-11-19,350.0,"{'long_future': 'LTF00', 'short_future': 'LTF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",175.0,False,False,False,-1.7777777777777777,-50.0
15,1999-11-22,470.0,"{'long_future': 'LTF00', 'short_future': 'LTF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",600.0,False,False,False,2.4285714285714284,550.0
16,1999-11-23,460.0,"{'long_future': 'LTF00', 'short_future': 'LTF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-50.0,False,False,False,-1.0833333333333333,500.0
17,1999-11-24,410.0,"{'long_future': 'LTF00', 'short_future': 'LTF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-250.0,False,False,False,4.0,250.0
18,1999-11-25,385.0,"{'long_future': 'LTF00', 'short_future': 'LTF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-125.0,False,False,False,-0.5,125.0
19,1999-11-26,385.0,"{'long_future': 'LTF00', 'short_future': 'LTF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",0.0,False,False,False,-1.0,125.0
20,1999-11-29,520.0,"{'long_future': 'LTF00', 'short_future': 'LTF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",675.0,False,False,False,inf,800.0
21,1999-11-30,595.0,"{'long_future': 'LTF00', 'short_future': 'LTF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",375.0,False,False,False,-0.4444444444444444,1175.0
22,1999-12-01,365.0,"{'long_future': 'LTF00', 'short_future': 'LTF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-1150.0,False,False,False,-4.066666666666666,25.0
23,1999-12-02,245.0,"{'long_future': 'LTF00', 'short_future': 'LTF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-600.0,False,False,False,-0.4782608695652174,-575.0
24,1999-12-03,220.0,"{'long_future': 'LTF00', 'short_future': 'LTF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-125.0,False,False,False,-0.7916666666666666,-700.0
25,1999-12-06,160.0,"{'long_future': 'LTF00', 'short_future': 'LTF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-300.0,False,False,False,1.4,-1000.0
26,1999-12-07,425.0,"{'long_future': 'LTF00', 'short_future': 'LTF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",1325.0,False,False,False,-5.416666666666667,325.0
27,1999-12-08,195.0,"{'long_future': 'LTF00', 'short_future': 'LTF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-1150.0,False,False,False,-1.8679245283018868,-825.0
