,Due,Future,Month
0,2000-01-18,LTF00,F
1,2000-03-14,LTH00,H
2,2000-05-16,LTK00,K
3,2000-07-18,LTN00,N
4,2000-09-18,LTU00,U
5,2000-11-14,LTX00,X
6,2001-01-16,LTF01,F
7,2001-03-16,LTH01,H
8,2001-05-11,LTK01,K
9,2001-07-13,LTN01,N
10,2001-09-14,LTU01,U
11,2001-11-16,LTX01,X
12,2002-01-11,LTF02,F
13,2002-03-15,LTH02,H
14,2002-05-10,LTK02,K
15,2002-07-12,LTN02,N
16,2002-09-13,LTU02,U
17,2002-11-15,LTX02,X
18,2003-01-10,LTF03,F
19,2003-03-14,LTH03,H
20,2003-05-16,LTK03,K
21,2003-07-11,LTN03,N
22,2003-09-12,LTU03,U
23,2003-11-14,LTX03,X
24,2004-01-16,LTF04,F
25,2004-03-12,LTH04,H
26,2004-05-14,LTK04,K
27,2004-07-16,LTN04,N
28,2004-09-10,LTU04,U
29,2004-11-12,LTX04,X
30,2005-01-14,LTF05,F
31,2005-03-11,LTH05,H
32,2005-05-13,LTK05,K
33,2005-07-15,LTN05,N
34,2005-09-16,LTU05,U
35,2005-11-11,LTX05,X
36,2005-12-30,LTF06,F
37,2006-02-28,LTH06,H
38,2006-04-28,LTK06,K
39,2006-07-17,LTN06,N
40,2006-09-18,LTU06,U
41,2006-11-13,LTX06,X
42,2007-01-15,LTF07,F
43,2007-03-19,LTH07,H
44,2007-05-14,LTK07,K
45,2007-07-16,LTN07,N
46,2007-09-17,LTU07,U
47,2007-11-19,LTX07,X
48,2008-01-14,LTF08,F
49,2008-03-17,LTH08,H
50,2008-05-19,LTK08,K
51,2008-07-14,LTN08,N
52,2008-09-15,LTU08,U
53,2008-11-17,LTX08,X
54,2009-01-19,LTF09,F
55,2009-03-16,LTH09,H
56,2009-05-18,LTK09,K
57,2009-07-13,LTN09,N
58,2009-09-14,LTU09,U
59,2009-11-16,LTX09,X
60,2010-01-18,LTF10,F
61,2010-03-15,LTH10,H
62,2010-05-17,LTK10,K
63,2010-07-19,LTN10,N
64,2010-09-13,LTU10,U
65,2010-11-15,LTX10,X
66,2011-01-17,LTF11,F
67,2011-03-14,LTH11,H
68,2011-05-16,LTK11,K
69,2011-07-18,LTN11,N
70,2011-09-19,LTU11,U
71,2011-11-14,LTX11,X
72,2012-01-16,LTF12,F
73,2012-03-19,LTH12,H
74,2012-05-14,LTK12,K
75,2012-07-16,LTN12,N
76,2012-09-17,LTU12,U
77,2012-11-19,LTX12,X
78,2013-01-14,LTF13,F
79,2013-03-18,LTH13,H
80,2013-05-13,LTK13,K
81,2013-07-15,LTN13,N
82,2013-09-16,LTU13,U
83,2013-11-18,LTX13,X
84,2014-01-13,LTF14,F
85,2014-03-17,LTH14,H
86,2014-05-19,LTK14,K
87,2014-07-14,LTN14,N
88,2014-09-15,LTU14,U
89,2014-11-17,LTX14,X
90,2015-01-19,LTF15,F
91,2015-03-16,LTH15,H
92,2015-05-18,LTK15,K
93,2015-07-13,LTN15,N
94,2015-09-14,LTU15,U
95,2015-11-16,LTX15,X
96,2016-01-18,LTF16,F
97,2016-03-14,LTH16,H
98,2016-05-16,LTK16,K
99,2016-07-18,LTN16,N
100,2016-09-19,LTU16,U
101,2016-11-14,LTX16,X
102,2017-01-16,LTF17,F
103,2017-03-13,LTH17,H
104,2017-05-15,LTK17,K
105,2017-07-17,LTN17,N
106,2017-09-18,LTU17,U
107,2017-11-13,LTX17,X
108,2018-01-15,LTF18,F
109,2018-03-19,LTH18,H
110,2018-05-14,LTK18,K
111,2018-07-16,LTN18,N
112,2018-09-17,LTU18,U
113,2018-11-19,LTX18,X
114,2019-01-14,LTF19,F
115,2019-03-18,LTH19,H
116,2019-05-13,LTK19,K
117,2019-07-15,LTN19,N
118,2019-09-16,LTU19,U
119,2019-11-18,LTX19,X
120,2020-01-13,LTF20,F
121,2020-03-16,LTH20,H
122,2020-05-18,LTK20,K
123,2020-07-13,LTN20,N
124,2020-09-14,LTU20,U
125,2020-11-16,LTX20,X
126,2021-01-18,LTF21,F
127,2021-03-15,LTH21,H
128,2021-05-17,LTK21,K
129,2021-07-19,LTN21,N
130,2021-09-13,LTU21,U
131,2021-11-15,LTX21,X
132,2022-01-17,LTF22,F
133,2022-03-14,LTH22,H
134,2022-05-16,LTK22,K
135,2022-07-18,LTN22,N
136,2022-09-19,LTU22,U
137,2022-11-14,LTX22,X
138,2023-01-16,LTF23,F
139,2023-03-13,LTH23,H
140,2023-05-15,LTK23,K
141,2023-07-17,LTN23,N
142,2023-09-18,LTU23,U
143,2023-10-30,LTX23,X
