,Due,Future,Month
0,2000-01-04,PLF00,F
1,2000-04-03,PLJ00,J
2,2000-06-30,PLN00,N
3,2000-10-02,PLV00,V
4,2001-01-02,PLF01,F
5,2001-04-02,PLJ01,J
6,2001-07-02,PLN01,N
7,2001-10-01,PLV01,V
8,2002-01-02,PLF02,F
9,2002-04-01,PLJ02,J
10,2002-07-01,PLN02,N
11,2002-10-01,PLV02,V
12,2003-01-02,PLF03,F
13,2003-04-01,PLJ03,J
14,2003-07-01,PLN03,N
15,2003-10-01,PLV03,V
16,2003-12-31,PLF04,F
17,2004-04-01,PLJ04,J
18,2004-07-01,PLN04,N
19,2004-10-01,PLV04,V
20,2004-12-30,PLF05,F
21,2005-04-01,PLJ05,J
22,2005-07-01,PLN05,N
23,2005-09-30,PLV05,V
24,2005-12-30,PLF06,F
25,2006-03-31,PLJ06,J
26,2006-07-03,PLN06,N
27,2006-09-29,PLV06,V
28,2006-12-29,PLF07,F
29,2007-03-30,PLJ07,J
30,2007-06-29,PLN07,N
31,2007-09-28,PLV07,V
32,2007-12-31,PLF08,F
33,2008-03-31,PLJ08,J
34,2008-06-30,PLN08,N
35,2008-09-30,PLV08,V
36,2008-12-31,PLF09,F
37,2009-03-31,PLJ09,J
38,2009-06-30,PLN09,N
39,2009-09-30,PLV09,V
40,2009-12-31,PLF10,F
41,2010-03-31,PLJ10,J
42,2010-06-30,PLN10,N
43,2010-09-30,PLV10,V
44,2010-12-31,PLF11,F
45,2011-03-31,PLJ11,J
46,2011-06-30,PLN11,N
47,2011-09-30,PLV11,V
48,2011-12-30,PLF12,F
49,2012-03-30,PLJ12,J
50,2012-06-29,PLN12,N
51,2012-09-28,PLV12,V
52,2012-12-31,PLF13,F
53,2013-03-28,PLJ13,J
54,2013-06-28,PLN13,N
55,2013-09-30,PLV13,V
56,2013-12-31,PLF14,F
57,2014-03-31,PLJ14,J
58,2014-06-30,PLN14,N
59,2014-09-30,PLV14,V
60,2014-12-31,PLF15,F
61,2015-03-31,PLJ15,J
62,2015-06-30,PLN15,N
63,2015-09-30,PLV15,V
64,2015-12-31,PLF16,F
65,2016-03-31,PLJ16,J
66,2016-06-30,PLN16,N
67,2016-09-30,PLV16,V
68,2016-12-30,PLF17,F
69,2017-03-31,PLJ17,J
70,2017-06-30,PLN17,N
71,2017-09-29,PLV17,V
72,2017-12-29,PLF18,F
73,2018-03-29,PLJ18,J
74,2018-06-29,PLN18,N
75,2018-09-28,PLV18,V
76,2018-12-31,PLF19,F
77,2019-03-29,PLJ19,J
78,2019-06-28,PLN19,N
79,2019-09-30,PLV19,V
80,2019-12-31,PLF20,F
81,2020-03-31,PLJ20,J
82,2020-06-30,PLN20,N
83,2020-09-30,PLV20,V
84,2020-12-31,PLF21,F
85,2021-03-31,PLJ21,J
86,2021-06-30,PLN21,N
87,2021-09-30,PLV21,V
88,2021-12-31,PLF22,F
89,2022-03-31,PLJ22,J
90,2022-06-30,PLN22,N
91,2022-09-30,PLV22,V
92,2022-12-30,PLF23,F
93,2023-03-31,PLJ23,J
94,2023-06-30,PLN23,N
95,2023-09-29,PLV23,V
