,Distance,std,cuml_pnl,sharp_ratio
0,6,683330.7203871036,-1971.3262978723399,-0.05380527891263512
1,2,714551.5222878503,-2591.4969230769207,-0.06735385552871599
2,4,686085.054130556,-2848.4274626865667,-0.07726797090366612
3,12,596238.166709909,-3032.6583244962885,-0.09516666856988877
4,3,717405.6910441862,-3987.3553895410887,-0.10333065506088132
5,9,631598.3221449392,-3512.8105196182382,-0.10406265769800005
6,1,670484.1854108827,-3478.0737336814645,-0.11826050744419699
7,11,620293.6040427835,-4203.807999999998,-0.1270711151723619
8,7,654824.6255586551,-4690.702826780019,-0.13374329031270563
9,5,669807.4205859766,-6463.115654952075,-0.17977406087059558
10,8,638843.1736475017,-7495.539363057326,-0.21929513498613537
11,10,631104.6205564976,-7402.969830508475,-0.21970810462096282
