,Due,Future,Month,Pair
0,1999-12-30,BOF00,F,BOH00
1,2000-02-29,BOH00,H,BOK00
2,2000-04-28,BOK00,K,BON00
3,2000-06-30,BON00,N,BOZ00
4,2000-11-30,BOZ00,Z,BOF01
5,2000-12-29,BOF01,F,BOH01
6,2001-02-28,BOH01,H,BOK01
7,2001-04-30,BOK01,K,BON01
8,2001-06-29,BON01,N,BOZ01
9,2001-11-30,BOZ01,Z,BOF02
10,2001-12-31,BOF02,F,BOH02
11,2002-02-28,BOH02,H,BOK02
12,2002-04-30,BOK02,K,BON02
13,2002-06-28,BON02,N,BOZ02
14,2002-11-29,BOZ02,Z,BOF03
15,2002-12-31,BOF03,F,BOH03
16,2003-02-28,BOH03,H,BOK03
17,2003-04-30,BOK03,K,BON03
18,2003-06-30,BON03,N,BOZ03
19,2003-11-28,BOZ03,Z,BOF04
20,2003-12-31,BOF04,F,BOH04
21,2004-02-27,BOH04,H,BOK04
22,2004-04-30,BOK04,K,BON04
23,2004-06-30,BON04,N,BOZ04
24,2004-11-30,BOZ04,Z,BOF05
25,2004-12-30,BOF05,F,BOH05
26,2005-02-28,BOH05,H,BOK05
27,2005-04-29,BOK05,K,BON05
28,2005-06-30,BON05,N,BOZ05
29,2005-11-30,BOZ05,Z,BOF06
30,2005-12-30,BOF06,F,BOH06
31,2006-02-28,BOH06,H,BOK06
32,2006-04-28,BOK06,K,BON06
33,2006-06-30,BON06,N,BOZ06
34,2006-11-30,BOZ06,Z,BOF07
35,2006-12-29,BOF07,F,BOH07
36,2007-02-28,BOH07,H,BOK07
37,2007-04-30,BOK07,K,BON07
38,2007-06-29,BON07,N,BOZ07
39,2007-11-30,BOZ07,Z,BOF08
40,2007-12-31,BOF08,F,BOH08
41,2008-02-29,BOH08,H,BOK08
42,2008-04-30,BOK08,K,BON08
43,2008-06-30,BON08,N,BOZ08
44,2008-11-28,BOZ08,Z,BOF09
45,2008-12-31,BOF09,F,BOH09
46,2009-02-27,BOH09,H,BOK09
47,2009-04-30,BOK09,K,BON09
48,2009-06-30,BON09,N,BOZ09
49,2009-11-30,BOZ09,Z,BOF10
50,2009-12-31,BOF10,F,BOH10
51,2010-02-26,BOH10,H,BOK10
52,2010-04-30,BOK10,K,BON10
53,2010-06-30,BON10,N,BOZ10
54,2010-11-30,BOZ10,Z,BOF11
55,2010-12-31,BOF11,F,BOH11
56,2011-02-28,BOH11,H,BOK11
57,2011-04-29,BOK11,K,BON11
58,2011-06-30,BON11,N,BOZ11
59,2011-11-30,BOZ11,Z,BOF12
60,2011-12-30,BOF12,F,BOH12
61,2012-02-29,BOH12,H,BOK12
62,2012-04-30,BOK12,K,BON12
63,2012-06-29,BON12,N,BOZ12
64,2012-11-30,BOZ12,Z,BOF13
65,2012-12-31,BOF13,F,BOH13
66,2013-02-28,BOH13,H,BOK13
67,2013-04-30,BOK13,K,BON13
68,2013-06-28,BON13,N,BOZ13
69,2013-11-29,BOZ13,Z,BOF14
70,2013-12-31,BOF14,F,BOH14
71,2014-02-28,BOH14,H,BOK14
72,2014-04-30,BOK14,K,BON14
73,2014-06-30,BON14,N,BOZ14
74,2014-11-28,BOZ14,Z,BOF15
75,2014-12-31,BOF15,F,BOH15
76,2015-02-27,BOH15,H,BOK15
77,2015-04-30,BOK15,K,BON15
78,2015-06-30,BON15,N,BOZ15
79,2015-11-30,BOZ15,Z,BOF16
80,2015-12-31,BOF16,F,BOH16
81,2016-02-29,BOH16,H,BOK16
82,2016-04-29,BOK16,K,BON16
83,2016-06-30,BON16,N,BOZ16
84,2016-11-30,BOZ16,Z,BOF17
85,2016-12-30,BOF17,F,BOH17
86,2017-02-28,BOH17,H,BOK17
87,2017-04-28,BOK17,K,BON17
88,2017-06-30,BON17,N,BOZ17
89,2017-11-30,BOZ17,Z,BOF18
90,2017-12-29,BOF18,F,BOH18
91,2018-02-28,BOH18,H,BOK18
92,2018-04-30,BOK18,K,BON18
93,2018-06-29,BON18,N,BOZ18
94,2018-11-30,BOZ18,Z,BOF19
95,2018-12-31,BOF19,F,BOH19
96,2019-02-28,BOH19,H,BOK19
97,2019-04-30,BOK19,K,BON19
98,2019-06-28,BON19,N,BOZ19
99,2019-11-29,BOZ19,Z,BOF20
100,2019-12-31,BOF20,F,BOH20
101,2020-02-28,BOH20,H,BOK20
102,2020-04-30,BOK20,K,BON20
103,2020-06-30,BON20,N,BOZ20
104,2020-11-30,BOZ20,Z,BOF21
105,2020-12-31,BOF21,F,BOH21
106,2021-02-26,BOH21,H,BOK21
107,2021-04-30,BOK21,K,BON21
108,2021-06-30,BON21,N,BOZ21
109,2021-11-30,BOZ21,Z,BOF22
110,2021-12-31,BOF22,F,BOH22
111,2022-02-28,BOH22,H,BOK22
112,2022-04-29,BOK22,K,BON22
113,2022-06-30,BON22,N,BOZ22
114,2022-11-30,BOZ22,Z,BOF23
115,2022-12-30,BOF23,F,BOH23
116,2023-02-28,BOH23,H,BOK23
117,2023-04-28,BOK23,K,BON23
118,2023-06-30,BON23,N,BOZ23
