,Due,Future,Month
0,1999-12-30,S F00,F
1,2000-02-29,S H00,H
2,2000-04-28,S K00,K
3,2000-06-30,S N00,N
4,2000-10-31,S X00,X
5,2000-12-29,S F01,F
6,2001-02-28,S H01,H
7,2001-04-30,S K01,K
8,2001-06-29,S N01,N
9,2001-10-31,S X01,X
10,2001-12-31,S F02,F
11,2002-02-28,S H02,H
12,2002-04-30,S K02,K
13,2002-06-28,S N02,N
14,2002-10-31,S X02,X
15,2002-12-31,S F03,F
16,2003-02-28,S H03,H
17,2003-04-30,S K03,K
18,2003-06-30,S N03,N
19,2003-10-31,S X03,X
20,2003-12-31,S F04,F
21,2004-02-27,S H04,H
22,2004-04-30,S K04,K
23,2004-06-30,S N04,N
24,2004-10-29,S X04,X
25,2004-12-30,S F05,F
26,2005-02-28,S H05,H
27,2005-04-29,S K05,K
28,2005-06-30,S N05,N
29,2005-10-31,S X05,X
30,2005-12-29,S F06,F
31,2006-02-28,S H06,H
32,2006-04-28,S K06,K
33,2006-06-30,S N06,N
34,2006-10-31,S X06,X
35,2006-12-29,S F07,F
36,2007-02-28,S H07,H
37,2007-04-30,S K07,K
38,2007-06-29,S N07,N
39,2007-10-31,S X07,X
40,2007-12-31,S F08,F
41,2008-02-29,S H08,H
42,2008-04-30,S K08,K
43,2008-06-30,S N08,N
44,2008-10-31,S X08,X
45,2008-12-31,S F09,F
46,2009-02-27,S H09,H
47,2009-04-30,S K09,K
48,2009-06-30,S N09,N
49,2009-10-30,S X09,X
50,2009-12-31,S F10,F
51,2010-02-26,S H10,H
52,2010-04-30,S K10,K
53,2010-06-30,S N10,N
54,2010-10-29,S X10,X
55,2010-12-31,S F11,F
56,2011-02-28,S H11,H
57,2011-04-29,S K11,K
58,2011-06-30,S N11,N
59,2011-10-31,S X11,X
60,2011-12-30,S F12,F
61,2012-02-29,S H12,H
62,2012-04-30,S K12,K
63,2012-06-29,S N12,N
64,2012-10-31,S X12,X
65,2012-12-31,S F13,F
66,2013-02-28,S H13,H
67,2013-04-30,S K13,K
68,2013-06-28,S N13,N
69,2013-10-31,S X13,X
70,2013-12-31,S F14,F
71,2014-02-28,S H14,H
72,2014-04-30,S K14,K
73,2014-06-30,S N14,N
74,2014-10-31,S X14,X
75,2014-12-31,S F15,F
76,2015-02-27,S H15,H
77,2015-04-30,S K15,K
78,2015-06-30,S N15,N
79,2015-10-30,S X15,X
80,2015-12-31,S F16,F
81,2016-02-29,S H16,H
82,2016-04-29,S K16,K
83,2016-06-30,S N16,N
84,2016-10-31,S X16,X
85,2016-12-30,S F17,F
86,2017-02-28,S H17,H
87,2017-04-28,S K17,K
88,2017-06-30,S N17,N
89,2017-10-31,S X17,X
90,2017-12-29,S F18,F
91,2018-02-28,S H18,H
92,2018-04-30,S K18,K
93,2018-06-29,S N18,N
94,2018-10-31,S X18,X
95,2018-12-31,S F19,F
96,2019-02-28,S H19,H
97,2019-04-30,S K19,K
98,2019-06-28,S N19,N
99,2019-10-31,S X19,X
100,2019-12-31,S F20,F
101,2020-02-28,S H20,H
102,2020-04-30,S K20,K
103,2020-06-30,S N20,N
104,2020-10-30,S X20,X
105,2020-12-31,S F21,F
106,2021-02-26,S H21,H
107,2021-04-30,S K21,K
108,2021-06-30,S N21,N
109,2021-10-29,S X21,X
110,2021-12-31,S F22,F
111,2022-02-28,S H22,H
112,2022-04-29,S K22,K
113,2022-06-30,S N22,N
114,2022-10-31,S X22,X
115,2022-12-30,S F23,F
116,2023-02-28,S H23,H
117,2023-04-28,S K23,K
118,2023-06-30,S N23,N
119,2023-10-31,S X23,X
