,Date,Value,Payload,Daily_Gain,Missing_Price,No_Tradable_Day,Market_Out,Change (%),Cum_Gain
13,2000-01-25,-193.75,"{'long_future': 'S H00', 'short_future': 'S H01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",6.25,False,False,False,-0.8571428571428572,-168.75
14,2000-01-26,-191.25,"{'long_future': 'S H00', 'short_future': 'S H01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",12.5,False,False,False,1.0,-156.25
15,2000-01-27,-190.0,"{'long_future': 'S H00', 'short_future': 'S H01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",6.25,False,False,False,-0.5,-150.0
16,2000-01-28,-197.5,"{'long_future': 'S H00', 'short_future': 'S H01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-37.5,False,False,False,-7.0,-187.5
17,2000-01-31,-195.0,"{'long_future': 'S H00', 'short_future': 'S H01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",12.5,False,False,False,-1.3333333333333333,-175.0
18,2000-02-01,-195.0,"{'long_future': 'S H00', 'short_future': 'S H01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",0.0,False,False,False,-1.0,-175.0
19,2000-02-02,-195.0,"{'long_future': 'S H00', 'short_future': 'S H01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",0.0,False,False,False,,-175.0
20,2000-02-03,-192.5,"{'long_future': 'S H00', 'short_future': 'S H01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",12.5,False,False,False,inf,-162.5
21,2000-02-04,-197.5,"{'long_future': 'S H00', 'short_future': 'S H01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-25.0,False,False,False,-3.0,-187.5
22,2000-02-07,-205.0,"{'long_future': 'S H00', 'short_future': 'S H01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-37.5,False,False,False,0.5,-225.0
23,2000-02-08,-187.71875,"{'long_future': 'S K00', 'short_future': 'S K01', 'previous_long_future': 'S H00', 'previous_short_future': 'S H01', 'event': {'rolling_over': 1}, 'missing_price_flag': True, 'tradable_day': 528.71875}",86.40625,True,False,False,-3.3041666666666667,-138.59375
24,2000-02-09,-163.625,"{'long_future': 'S K00', 'short_future': 'S K01', 'previous_long_future': 'S H00', 'previous_short_future': 'S H01', 'event': {'rolling_over': 2}, 'missing_price_flag': True, 'tradable_day': 531.6875}",120.46875,True,False,False,0.3942133815551536,-18.125
25,2000-02-10,-134.71875,"{'long_future': 'S K00', 'short_future': 'S K01', 'previous_long_future': 'S H00', 'previous_short_future': 'S H01', 'event': {'rolling_over': 3}, 'missing_price_flag': True, 'tradable_day': 539.90625}",144.53125,True,False,False,0.19974059662775612,126.40625
26,2000-02-11,-119.0,"{'long_future': 'S K00', 'short_future': 'S K01', 'previous_long_future': 'S H00', 'previous_short_future': 'S H01', 'event': {'rolling_over': 4}, 'missing_price_flag': True, 'tradable_day': 533.9375}",78.59375,True,False,False,-0.4562162162162162,205.0
27,2000-02-14,-94.6875,"{'long_future': 'S K00', 'short_future': 'S K01', 'previous_long_future': 'S H00', 'previous_short_future': 'S H01', 'event': {'rolling_over': 5}, 'missing_price_flag': True, 'tradable_day': 533.6875}",121.5625,True,False,False,0.5467196819085487,326.5625
28,2000-02-15,-90.15625,"{'long_future': 'S K00', 'short_future': 'S K01', 'event': 'base', 'missing_price_flag': True, 'tradable_day': 535.78125}",22.65625,True,False,False,-0.8136246786632391,349.21875
29,2000-02-16,-92.34375,"{'long_future': 'S K00', 'short_future': 'S K01', 'event': 'base', 'missing_price_flag': True, 'tradable_day': 535.46875}",-10.9375,True,False,False,-1.4827586206896552,338.28125
30,2000-02-17,-92.1875,"{'long_future': 'S K00', 'short_future': 'S K01', 'event': 'base', 'missing_price_flag': True, 'tradable_day': 536.1875}",0.78125,True,False,False,-1.0714285714285714,339.0625
31,2000-02-18,-87.34375,"{'long_future': 'S K00', 'short_future': 'S K01', 'event': 'base', 'missing_price_flag': True, 'tradable_day': 541.96875}",24.21875,True,False,False,30.0,363.28125
32,2000-02-21,-87.34375,"{'long_future': 'S K00', 'short_future': 'S K01', 'event': 'base', 'missing_price_flag': True, 'tradable_day': 0}",0.0,False,True,False,-1.0,363.28125
33,2000-02-22,-88.59375,"{'long_future': 'S K00', 'short_future': 'S K01', 'event': 'base', 'missing_price_flag': True, 'tradable_day': 540.21875}",-6.25,True,False,False,-inf,357.03125
34,2000-02-23,-90.15625,"{'long_future': 'S K00', 'short_future': 'S K01', 'event': 'base', 'missing_price_flag': True, 'tradable_day': 526.28125}",-7.8125,True,False,False,0.25,349.21875
35,2000-02-24,-82.5,"{'long_future': 'S K00', 'short_future': 'S K01', 'event': 'base', 'missing_price_flag': True, 'tradable_day': 530.25}",38.28125,True,False,False,-5.9,387.5
36,2000-02-25,-82.34375,"{'long_future': 'S K00', 'short_future': 'S K01', 'event': 'base', 'missing_price_flag': True, 'tradable_day': 521.96875}",0.78125,True,False,False,-0.9795918367346939,388.28125
37,2000-02-28,-82.65625,"{'long_future': 'S K00', 'short_future': 'S K01', 'event': 'base', 'missing_price_flag': True, 'tradable_day': 522.78125}",-1.5625,True,False,False,-3.0,386.71875
38,2000-02-29,-90.46875,"{'long_future': 'S K00', 'short_future': 'S K01', 'event': 'base', 'missing_price_flag': True, 'tradable_day': 529.09375}",-39.0625,True,False,False,24.0,347.65625
39,2000-03-01,-116.60714285714278,"{'long_future': 'S K00', 'short_future': 'S K01', 'event': 'base', 'missing_price_flag': True, 'tradable_day': 529.5714285714286}",-130.69196428571388,True,False,False,2.3457142857142754,216.96428571428612
40,2000-03-02,-104.46428571428555,"{'long_future': 'S K00', 'short_future': 'S K01', 'event': 'base', 'missing_price_flag': True, 'tradable_day': 531.3928571428571}",60.71428571428612,True,False,False,-1.4645602049530362,277.67857142857224
41,2000-03-03,-167.5,"{'long_future': 'S K00', 'short_future': 'S K01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-315.17857142857224,False,False,False,-6.191176470588214,-37.5
42,2000-03-06,-163.75,"{'long_future': 'S K00', 'short_future': 'S K01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",18.75,False,False,False,-1.0594900849858355,-18.75
43,2000-03-07,-175.0,"{'long_future': 'S K00', 'short_future': 'S K01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-56.25,False,False,False,-4.0,-75.0
44,2000-03-08,-183.75,"{'long_future': 'S K00', 'short_future': 'S K01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-43.75,False,False,False,-0.2222222222222222,-118.75
45,2000-03-09,-185.0,"{'long_future': 'S K00', 'short_future': 'S K01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-6.25,False,False,False,-0.8571428571428572,-125.0
46,2000-03-10,-183.75,"{'long_future': 'S K00', 'short_future': 'S K01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",6.25,False,False,False,-2.0,-118.75
47,2000-03-13,-175.0,"{'long_future': 'S K00', 'short_future': 'S K01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",43.75,False,False,False,6.0,-75.0
48,2000-03-14,-190.0,"{'long_future': 'S K00', 'short_future': 'S K01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-75.0,False,False,False,-2.7142857142857144,-150.0
49,2000-03-15,-205.0,"{'long_future': 'S K00', 'short_future': 'S K01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-75.0,False,False,False,0.0,-225.0
