,Due,Future,Month,Pair
0,2000-02-23,CTH00,H,CTK00
1,2000-04-24,CTK00,K,CTN00
2,2000-06-26,CTN00,N,CTZ00
3,2000-11-22,CTZ00,Z,CTH01
4,2001-02-22,CTH01,H,CTK01
5,2001-04-24,CTK01,K,CTN01
6,2001-06-25,CTN01,N,CTZ01
7,2001-11-26,CTZ01,Z,CTH02
8,2002-02-22,CTH02,H,CTK02
9,2002-04-24,CTK02,K,CTN02
10,2002-06-24,CTN02,N,CTZ02
11,2002-11-21,CTZ02,Z,CTH03
12,2003-02-24,CTH03,H,CTK03
13,2003-04-24,CTK03,K,CTN03
14,2003-06-24,CTN03,N,CTZ03
15,2003-11-20,CTZ03,Z,CTH04
16,2004-02-23,CTH04,H,CTK04
17,2004-04-26,CTK04,K,CTN04
18,2004-06-24,CTN04,N,CTZ04
19,2004-11-22,CTZ04,Z,CTH05
20,2005-02-22,CTH05,H,CTK05
21,2005-04-25,CTK05,K,CTN05
22,2005-06-24,CTN05,N,CTZ05
23,2005-11-22,CTZ05,Z,CTH06
24,2006-02-23,CTH06,H,CTK06
25,2006-04-24,CTK06,K,CTN06
26,2006-06-26,CTN06,N,CTZ06
27,2006-11-22,CTZ06,Z,CTH07
28,2007-02-22,CTH07,H,CTK07
29,2007-04-24,CTK07,K,CTN07
30,2007-06-25,CTN07,N,CTZ07
31,2007-11-26,CTZ07,Z,CTH08
32,2008-02-25,CTH08,H,CTK08
33,2008-04-24,CTK08,K,CTN08
34,2008-06-24,CTN08,N,CTZ08
35,2008-11-21,CTZ08,Z,CTH09
36,2009-02-23,CTH09,H,CTK09
37,2009-04-24,CTK09,K,CTN09
38,2009-06-24,CTN09,N,CTZ09
39,2009-11-23,CTZ09,Z,CTH10
40,2010-02-22,CTH10,H,CTK10
41,2010-04-26,CTK10,K,CTN10
42,2010-06-24,CTN10,N,CTZ10
43,2010-11-23,CTZ10,Z,CTH11
44,2011-02-22,CTH11,H,CTK11
45,2011-04-25,CTK11,K,CTN11
46,2011-06-24,CTN11,N,CTZ11
47,2011-11-23,CTZ11,Z,CTH12
48,2012-02-23,CTH12,H,CTK12
49,2012-04-24,CTK12,K,CTN12
50,2012-06-25,CTN12,N,CTZ12
51,2012-11-26,CTZ12,Z,CTH13
52,2013-02-22,CTH13,H,CTK13
53,2013-04-24,CTK13,K,CTN13
54,2013-06-24,CTN13,N,CTZ13
55,2013-11-22,CTZ13,Z,CTH14
56,2014-02-24,CTH14,H,CTK14
57,2014-04-24,CTK14,K,CTN14
58,2014-06-24,CTN14,N,CTZ14
59,2014-11-21,CTZ14,Z,CTH15
60,2015-02-23,CTH15,H,CTK15
61,2015-04-24,CTK15,K,CTN15
62,2015-06-24,CTN15,N,CTZ15
63,2015-11-23,CTZ15,Z,CTH16
64,2016-02-23,CTH16,H,CTK16
65,2016-04-25,CTK16,K,CTN16
66,2016-06-24,CTN16,N,CTZ16
67,2016-11-23,CTZ16,Z,CTH17
68,2017-02-22,CTH17,H,CTK17
69,2017-04-24,CTK17,K,CTN17
70,2017-06-26,CTN17,N,CTZ17
71,2017-11-24,CTZ17,Z,CTH18
72,2018-02-22,CTH18,H,CTK18
73,2018-04-24,CTK18,K,CTN18
74,2018-06-25,CTN18,N,CTZ18
75,2018-11-26,CTZ18,Z,CTH19
76,2019-02-22,CTH19,H,CTK19
77,2019-04-24,CTK19,K,CTN19
78,2019-06-24,CTN19,N,CTZ19
79,2019-11-22,CTZ19,Z,CTH20
80,2020-02-24,CTH20,H,CTK20
81,2020-04-24,CTK20,K,CTN20
82,2020-06-24,CTN20,N,CTZ20
83,2020-11-23,CTZ20,Z,CTH21
84,2021-02-22,CTH21,H,CTK21
85,2021-04-26,CTK21,K,CTN21
86,2021-06-24,CTN21,N,CTZ21
87,2021-11-23,CTZ21,Z,CTH22
88,2022-02-22,CTH22,H,CTK22
89,2022-04-25,CTK22,K,CTN22
90,2022-06-24,CTN22,N,CTZ22
91,2022-11-23,CTZ22,Z,CTH23
92,2023-02-22,CTH23,H,CTK23
93,2023-04-24,CTK23,K,CTN23
94,2023-06-26,CTN23,N,CTZ23
