,Distance,std,cuml_pnl,sharp_ratio
0,8,13192.1723408535,3.8346624902114455,0.007364973522906108
1,2,13467.791582761849,-4.581076329992285,-0.008753476713353185
2,7,13188.386257916052,-5.510137500000002,-0.010610850885263085
3,6,13221.869527197112,-8.251056403864128,-0.01589336512266637
4,4,13281.123699036682,-10.415947915051925,-0.020076614452385535
5,3,13220.57573499501,-18.595620167027523,-0.03609071265610657
6,5,13166.233379940775,-20.493206960845242,-0.03975244740818609
7,10,13002.25671203382,-23.176912624427192,-0.04476838235790746
8,1,12553.895514530339,-18.07956455696202,-0.04514773914949251
9,9,12977.305437802515,-23.790810301507538,-0.046326258011062216
10,11,12946.33519516309,-35.056825095056986,-0.06782537194989853
11,12,12586.670425852502,-54.60474069554602,-0.11286463790155063
