,Date,HGH00,HGZ00,HGK00,HGH01,HGN00,HGK01,HGU00,HGN01,HGU01,HGZ01,HGH02,HGK02,HGN02,HGU02,HGZ02,HGH03,HGK03,HGN03,HGU03,HGZ03,HGH04,HGK04,HGN04,HGU04,HGZ04,HGH05,HGK05,HGN05,HGU05,HGZ05,HGH06,HGK06,HGN06,HGU06,HGZ06,HGH07,HGK07,HGN07,HGU07,HGZ07,HGH08,HGK08,HGN08,HGU08,HGZ08,HGH09,HGK09,HGN09,HGU09,HGZ09,HGH10,HGK10,HGN10,HGU10,HGZ10,HGH11,HGK11,HGN11,HGU11,HGZ11,HGH12,HGK12,HGN12,HGU12,HGZ12,HGH13,HGK13,HGN13,HGU13,HGZ13,HGH14,HGK14,HGN14,HGU14,HGZ14,HGH15,HGK15,HGN15,HGU15,HGZ15,HGH16,HGK16,HGN16,HGU16,HGZ16,HGH17,HGK17,HGN17,HGU17,HGZ17,HGH18,HGK18,HGN18,HGU18,HGZ18,HGH19,HGK19,HGN19,HGU19,HGZ19,HGH20,HGK20,HGN20,HGU20,HGZ20,HGH21,HGK21,HGN21,HGU21,HGZ21,HGH22,HGK22,HGN22,HGU22,HGZ22,HGH23,HGK23,HGN23,HGU23,HGZ23,PnL,PNL,IS_ROLLING,Day
0,1998-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,
1,1999-01-01,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
2,1999-01-04,-8.500000000000014,8.500000000000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
3,1999-01-05,-11.999999999999957,11.999999999999957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
4,1999-01-06,-9.249999999999972,9.249999999999972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
5,1999-01-07,-9.750000000000014,9.750000000000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
6,1999-01-08,-6.999999999999957,6.999999999999957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
7,1999-01-11,-1.25,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
8,1999-01-12,-2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
9,1999-01-13,-4.499999999999957,4.499999999999957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
