,Date,Long,Short,Pre_Long,Pre_Short,Q_Long,Q_Short,Q_Pre_Long,Q_Pre_Short,IS_ROLLING,Payload,Value,Daily_Gain,Change (%),Cum_Gain
0,1999-03-31,66.05,69.0,66.05,69.0,5,5,0,0,False,"{'long_future': 'HGH00', 'short_future': 'HGH01', 'event': 'base', 'missing_price_flag': False}",-14.75,0.0,,0.0
1,1999-04-01,66.15,69.1,66.15,69.1,5,5,0,0,False,"{'long_future': 'HGH00', 'short_future': 'HGH01', 'event': 'base', 'missing_price_flag': False}",-14.75,0.0,,0.0
2,1999-04-02,,,,,5,5,0,0,False,"{'long_future': 'HGH00', 'short_future': 'HGH01', 'event': 'base', 'missing_price_flag': True}",-14.75,0.0,,0.0
3,1999-04-05,66.35,69.4,66.35,69.4,5,5,0,0,False,"{'long_future': 'HGH00', 'short_future': 'HGH01', 'event': 'base', 'missing_price_flag': False}",-15.25,-125.0,-inf,-125.0
4,1999-04-06,66.1,68.9,66.1,68.9,5,5,0,0,False,"{'long_future': 'HGH00', 'short_future': 'HGH01', 'event': 'base', 'missing_price_flag': False}",-14.0,312.5,-3.5,187.5
5,1999-04-07,67.8,70.6,67.8,70.6,5,5,0,0,False,"{'long_future': 'HGH00', 'short_future': 'HGH01', 'event': 'base', 'missing_price_flag': False}",-14.0,0.0,-1.0,187.5
6,1999-04-08,67.65,70.45,67.65,70.45,5,5,0,0,False,"{'long_future': 'HGH00', 'short_future': 'HGH01', 'event': 'base', 'missing_price_flag': False}",-14.0,0.0,,187.5
7,1999-04-09,67.8,70.5,67.8,70.5,5,5,0,0,False,"{'long_future': 'HGH00', 'short_future': 'HGH01', 'event': 'base', 'missing_price_flag': False}",-13.5,125.0,inf,312.5
8,1999-04-12,66.9,69.6,66.9,69.6,5,5,0,0,False,"{'long_future': 'HGH00', 'short_future': 'HGH01', 'event': 'base', 'missing_price_flag': False}",-13.5,0.0,-1.0,312.5
9,1999-04-13,68.9,71.45,68.9,71.45,5,5,0,0,False,"{'long_future': 'HGH00', 'short_future': 'HGH01', 'event': 'base', 'missing_price_flag': False}",-12.75,187.5,inf,500.0
10,1999-04-14,68.4,70.95,68.4,70.95,5,5,0,0,False,"{'long_future': 'HGH00', 'short_future': 'HGH01', 'event': 'base', 'missing_price_flag': False}",-12.75,0.0,-1.0,500.0
