,Due,Future,Month
0,2000-02-29,HGH00,H
1,2000-04-28,HGK00,K
2,2000-06-30,HGN00,N
3,2000-08-31,HGU00,U
4,2000-11-30,HGZ00,Z
5,2001-02-28,HGH01,H
6,2001-04-30,HGK01,K
7,2001-06-29,HGN01,N
8,2001-08-31,HGU01,U
9,2001-11-30,HGZ01,Z
10,2002-02-28,HGH02,H
11,2002-04-30,HGK02,K
12,2002-06-28,HGN02,N
13,2002-08-30,HGU02,U
14,2002-11-27,HGZ02,Z
15,2003-02-28,HGH03,H
16,2003-04-30,HGK03,K
17,2003-06-30,HGN03,N
18,2003-08-29,HGU03,U
19,2003-11-26,HGZ03,Z
20,2004-02-27,HGH04,H
21,2004-04-30,HGK04,K
22,2004-06-30,HGN04,N
23,2004-08-31,HGU04,U
24,2004-11-30,HGZ04,Z
25,2005-02-28,HGH05,H
26,2005-04-29,HGK05,K
27,2005-06-30,HGN05,N
28,2005-08-31,HGU05,U
29,2005-11-30,HGZ05,Z
30,2006-02-28,HGH06,H
31,2006-04-28,HGK06,K
32,2006-06-30,HGN06,N
33,2006-08-31,HGU06,U
34,2006-11-30,HGZ06,Z
35,2007-02-28,HGH07,H
36,2007-04-30,HGK07,K
37,2007-06-29,HGN07,N
38,2007-08-31,HGU07,U
39,2007-11-30,HGZ07,Z
40,2008-02-29,HGH08,H
41,2008-04-30,HGK08,K
42,2008-06-30,HGN08,N
43,2008-08-29,HGU08,U
44,2008-11-28,HGZ08,Z
45,2009-02-27,HGH09,H
46,2009-04-30,HGK09,K
47,2009-06-30,HGN09,N
48,2009-08-31,HGU09,U
49,2009-11-30,HGZ09,Z
50,2010-02-26,HGH10,H
51,2010-04-30,HGK10,K
52,2010-06-30,HGN10,N
53,2010-08-31,HGU10,U
54,2010-11-30,HGZ10,Z
55,2011-02-28,HGH11,H
56,2011-04-29,HGK11,K
57,2011-06-30,HGN11,N
58,2011-08-31,HGU11,U
59,2011-11-30,HGZ11,Z
60,2012-02-29,HGH12,H
61,2012-04-30,HGK12,K
62,2012-06-29,HGN12,N
63,2012-08-31,HGU12,U
64,2012-11-30,HGZ12,Z
65,2013-02-28,HGH13,H
66,2013-04-30,HGK13,K
67,2013-06-28,HGN13,N
68,2013-08-30,HGU13,U
69,2013-11-29,HGZ13,Z
70,2014-02-28,HGH14,H
71,2014-04-30,HGK14,K
72,2014-06-30,HGN14,N
73,2014-08-29,HGU14,U
74,2014-11-28,HGZ14,Z
75,2015-02-27,HGH15,H
76,2015-04-30,HGK15,K
77,2015-06-30,HGN15,N
78,2015-08-31,HGU15,U
79,2015-11-30,HGZ15,Z
80,2016-02-29,HGH16,H
81,2016-04-29,HGK16,K
82,2016-06-30,HGN16,N
83,2016-08-31,HGU16,U
84,2016-11-30,HGZ16,Z
85,2017-02-28,HGH17,H
86,2017-04-28,HGK17,K
87,2017-06-30,HGN17,N
88,2017-08-31,HGU17,U
89,2017-11-30,HGZ17,Z
90,2018-02-28,HGH18,H
91,2018-04-30,HGK18,K
92,2018-06-29,HGN18,N
93,2018-08-31,HGU18,U
94,2018-11-30,HGZ18,Z
95,2019-02-28,HGH19,H
96,2019-04-30,HGK19,K
97,2019-06-28,HGN19,N
98,2019-08-30,HGU19,U
99,2019-11-29,HGZ19,Z
100,2020-02-28,HGH20,H
101,2020-04-30,HGK20,K
102,2020-06-30,HGN20,N
103,2020-08-31,HGU20,U
104,2020-11-30,HGZ20,Z
105,2021-02-26,HGH21,H
106,2021-04-30,HGK21,K
107,2021-06-30,HGN21,N
108,2021-08-31,HGU21,U
109,2021-11-30,HGZ21,Z
110,2022-02-28,HGH22,H
111,2022-04-29,HGK22,K
112,2022-06-30,HGN22,N
113,2022-08-31,HGU22,U
114,2022-11-30,HGZ22,Z
115,2023-02-28,HGH23,H
116,2023-04-28,HGK23,K
117,2023-06-30,HGN23,N
118,2023-08-31,HGU23,U
119,2023-10-31,HGZ23,Z
