,Date,PAH00,PAU00,PAM00,PAZ00,PAH01,PAM01,PAU01,PAZ01,PAH02,PAM02,PAU02,PAZ02,PAH03,PAM03,PAU03,PAZ03,PAH04,PAM04,PAU04,PAZ04,PAH05,PAM05,PAU05,PAZ05,PAH06,PAM06,PAU06,PAZ06,PAH07,PAM07,PAU07,PAZ07,PAH08,PAM08,PAU08,PAZ08,PAH09,PAM09,PAU09,PAZ09,PAH10,PAM10,PAU10,PAZ10,PAH11,PAM11,PAU11,PAZ11,PAH12,PAM12,PAU12,PAZ12,PAH13,PAM13,PAU13,PAZ13,PAH14,PAM14,PAU14,PAZ14,PAH15,PAM15,PAU15,PAZ15,PAH16,PAM16,PAU16,PAZ16,PAH17,PAM17,PAU17,PAZ17,PAH18,PAM18,PAU18,PAZ18,PAH19,PAM19,PAU19,PAZ19,PAH20,PAM20,PAU20,PAZ20,PAH21,PAM21,PAU21,PAZ21,PAH22,PAM22,PAU22,PAZ22,PAH23,PAM23,PAU23,PAZ23,PnL,PNL,IS_ROLLING,Day
0,2000-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,
1,2000-02-14,33.249999999999886,-30.749999999999886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,250.0,,
2,2000-02-15,297.5,-277.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,2000.0,,
3,2000-02-16,561.4999999999998,-511.4999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,5000.0,,
4,2000-02-17,533.4999999999997,-503.49999999999966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,3000.0,,
5,2000-02-18,511.9999999999999,-481.9999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,3000.0,,
6,2000-02-21,511.9999999999999,-481.9999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,3000.0,,
7,2000-02-22,1089.7499999999995,-1064.7499999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,2500.0,,
8,2000-02-23,605.7499999999998,-580.7499999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,2500.0,,
9,2000-02-24,492.74999999999966,-465.24999999999966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5,2750.0,,
10,2000-02-25,450.7499999999998,-428.2499999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.5,2250.0,,
11,2000-02-28,611.75,-591.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,2000.0,,
12,2000-02-29,565.7499999999998,-548.2499999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5,1750.0,,
13,2000-03-01,460.24999999999966,-412.74999999999966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.5,4750.0,,
14,2000-03-02,460.24999999999966,-292.74999999999966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.5,16750.0,,
15,2000-03-03,460.24999999999966,-248.24999999999977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.9999999999999,21199.99999999999,,
16,2000-03-06,460.24999999999966,-248.24999999999977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.9999999999999,21199.99999999999,,
17,2000-03-07,460.24999999999966,-325.7499999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.4999999999999,13449.999999999989,,
18,2000-03-08,460.24999999999966,-529.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-69.00000000000034,-6900.000000000035,True,1.0
19,2000-03-09,460.24999999999966,-462.4499999999998,-17.700000000000045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.900000000000205,-1990.0000000000205,True,2.0
20,2000-03-10,460.24999999999966,-501.4499999999998,8.299999999999955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-32.900000000000205,-3290.0000000000205,True,3.0
21,2000-03-13,460.24999999999966,-471.4499999999998,-36.700000000000045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-47.900000000000205,-4790.00000000002,True,4.0
22,2000-03-14,460.24999999999966,-476.4499999999998,-16.700000000000045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-32.900000000000205,-3290.0000000000205,True,5.0
