,Date,PAH00,PAU00,PAM00,PAZ00,PAH01,PAM01,PAU01,PAZ01,PAH02,PAM02,PAU02,PAZ02,PAH03,PAM03,PAU03,PAZ03,PAH04,PAM04,PAU04,PAZ04,PAH05,PAM05,PAU05,PAZ05,PAH06,PAM06,PAU06,PAZ06,PAH07,PAM07,PAU07,PAZ07,PAH08,PAM08,PAU08,PAZ08,PAH09,PAM09,PAU09,PAZ09,PAH10,PAM10,PAU10,PAZ10,PAH11,PAM11,PAU11,PAZ11,PAH12,PAM12,PAU12,PAZ12,PAH13,PAM13,PAU13,PAZ13,PAH14,PAM14,PAU14,PAZ14,PAH15,PAM15,PAU15,PAZ15,PAH16,PAM16,PAU16,PAZ16,PAH17,PAM17,PAU17,PAZ17,PAH18,PAM18,PAU18,PAZ18,PAH19,PAM19,PAU19,PAZ19,PAH20,PAM20,PAU20,PAZ20,PAH21,PAM21,PAU21,PAZ21,PAH22,PAM22,PAU22,PAZ22,PAH23,PAM23,PAU23,PAZ23,PnL,PNL,IS_ROLLING,Day
23,2000-03-15,,,28.299999999999955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.299999999999955,2829.9999999999955,,
24,2000-03-16,,,98.29999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.29999999999995,9829.999999999996,,
25,2000-03-17,,,83.29999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.29999999999995,8329.999999999996,,
26,2000-03-20,,,-74.70000000000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.70000000000016,-7470.000000000016,,
27,2000-03-21,,,-191.70000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-191.70000000000005,-19170.000000000004,,
28,2000-03-22,,,-206.45000000000027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-206.45000000000027,-20645.00000000003,,
29,2000-03-23,,,-256.70000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-256.70000000000005,-25670.000000000004,,
30,2000-03-24,,,-376.70000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-376.70000000000005,-37670.00000000001,,
31,2000-03-27,,,-392.95000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-392.95000000000005,-39295.00000000001,,
32,2000-03-28,,,-388.9500000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-388.9500000000003,-38895.00000000003,,
33,2000-03-29,,,-416.70000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-416.70000000000005,-41670.00000000001,,
34,2000-03-30,,,-452.7000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-452.7000000000003,-45270.00000000003,,
35,2000-03-31,,,-489.20000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-489.20000000000005,-48920.00000000001,,
36,2000-04-03,,,-556.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-556.7,-55670.00000000001,,
37,2000-04-04,,,-504.94999999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-504.94999999999993,-50494.99999999999,,
38,2000-04-05,,,-488.1999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-488.1999999999998,-48819.999999999985,,
39,2000-04-06,,,-536.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-536.7,-53670.00000000001,,
40,2000-04-07,,,-571.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-571.7,-57170.00000000001,,
41,2000-04-10,,,-691.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-691.7,-69170.0,,
42,2000-04-11,,,-640.6999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-640.6999999999998,-64069.999999999985,,
43,2000-04-12,,,-656.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-656.7,-65670.0,,
44,2000-04-13,,,-663.1999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-663.1999999999998,-66319.99999999999,,
45,2000-04-14,,,-561.9499999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-561.9499999999998,-56194.999999999985,,
46,2000-04-17,,,-579.2,17.250000000000227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-561.9499999999998,-56194.999999999985,,
47,2000-04-18,,,-540.9500000000002,-20.99999999999966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-561.9499999999998,-56194.999999999985,,
48,2000-04-19,,,-595.2000000000003,33.250000000000455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-561.9499999999998,-56194.999999999985,,
49,2000-04-20,,,-656.1999999999999,94.25000000000011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-561.9499999999998,-56194.999999999985,,
50,2000-04-21,,,-656.1999999999999,94.25000000000011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-561.9499999999998,-56194.999999999985,,
51,2000-04-24,,,-639.7000000000002,77.75000000000034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-561.9499999999998,-56194.999999999985,,
52,2000-04-25,,,-572.95,11.000000000000227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-561.9499999999998,-56194.999999999985,,
53,2000-04-26,,,-592.2000000000002,30.25000000000034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-561.9499999999998,-56194.999999999985,,
54,2000-04-27,,,-512.7000000000003,-49.249999999999545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-561.9499999999998,-56194.999999999985,,
55,2000-04-28,,,-363.69999999999993,-188.2499999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-551.9499999999998,-55194.999999999985,,
56,2000-05-01,,,-316.70000000000005,-235.24999999999977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-551.9499999999998,-55194.999999999985,,
57,2000-05-02,,,-471.70000000000005,-85.24999999999977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-556.9499999999998,-55694.999999999985,,
58,2000-05-03,,,-500.45000000000005,-58.99999999999977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-559.4499999999998,-55944.999999999985,,
59,2000-05-04,,,-524.2,-32.74999999999977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-556.9499999999998,-55694.999999999985,,
60,2000-05-05,,,-539.7000000000002,-17.24999999999966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-556.9499999999998,-55694.999999999985,,
61,2000-05-08,,,-546.7,-5.249999999999773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-551.9499999999998,-55194.999999999985,,
62,2000-05-09,,,-544.9499999999999,-9.499999999999886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-554.4499999999998,-55444.999999999985,,
63,2000-05-10,,,-548.6999999999999,-8.249999999999886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-556.9499999999998,-55694.999999999985,,
64,2000-05-11,,,-578.6999999999999,19.250000000000114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-559.4499999999998,-55944.999999999985,,
65,2000-05-12,,,-599.2,41.00000000000023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-558.1999999999998,-55819.999999999985,,
66,2000-05-15,,,-629.2,69.75000000000023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-559.4499999999998,-55944.999999999985,,
67,2000-05-16,,,-586.7,28.500000000000227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-558.1999999999998,-55819.999999999985,,
68,2000-05-17,,,-605.45,46.00000000000023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-559.4499999999998,-55944.999999999985,,
69,2000-05-18,,,-594.2,37.25000000000023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-556.9499999999998,-55694.999999999985,,
70,2000-05-19,,,-574.2,9.750000000000227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-564.4499999999998,-56444.999999999985,,
71,2000-05-22,,,-616.1999999999999,50.500000000000114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-565.6999999999998,-56569.999999999985,,
72,2000-05-23,,,-591.7,19.750000000000227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-571.9499999999998,-57194.999999999985,,
73,2000-05-24,,,-621.7,34.75000000000023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-586.9499999999998,-58694.999999999985,,
74,2000-05-25,,,-641.7,49.75000000000023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-591.9499999999998,-59194.999999999985,,
75,2000-05-26,,,-639.2,37.25000000000023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-601.9499999999998,-60194.999999999985,,
76,2000-05-29,,,-639.2,37.25000000000023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-601.9499999999998,-60194.999999999985,,
77,2000-05-30,,,-615.6999999999998,11.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-604.4499999999998,-60444.999999999985,,
78,2000-05-31,,,-557.4499999999999,-39.499999999999886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-596.9499999999998,-59694.999999999985,,
79,2000-06-01,,,-574.2,-40.24999999999977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-614.4499999999998,-61444.999999999985,,
80,2000-06-02,,,-574.2,-111.99999999999989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-686.1999999999999,-68620.0,,
81,2000-06-05,,,-574.2,-225.99999999999966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-800.1999999999997,-80019.99999999997,,
82,2000-06-06,,,-574.2,-235.99999999999966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-810.1999999999997,-81019.99999999997,,
83,2000-06-07,,,-574.2,-338.49999999999966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-912.6999999999997,-91269.99999999997,,
84,2000-06-08,,,-574.2,-353.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-927.95,-92795.0,True,1.0
85,2000-06-09,,-475.5999999999999,-574.2,-357.14999999999964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1406.9499999999996,-140694.99999999997,True,2.0
86,2000-06-12,,-472.1999999999998,-574.2,-362.2499999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1408.6499999999996,-140864.99999999997,True,3.0
87,2000-06-13,,-412.04999999999995,-574.2,-402.3499999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1388.5999999999997,-138859.99999999997,True,4.0
88,2000-06-14,,-421.2499999999998,-574.2,-400.0499999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1395.4999999999995,-139549.99999999994,True,5.0
89,2000-06-15,,-386.7499999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-386.7499999999999,-38674.999999999985,,
90,2000-06-16,,-321.49999999999955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-321.49999999999955,-32149.999999999956,,
91,2000-06-19,,-285.4999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-285.4999999999999,-28549.99999999999,,
92,2000-06-20,,-306.2499999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-306.2499999999998,-30624.999999999978,,
93,2000-06-21,,-348.99999999999955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-348.99999999999955,-34899.999999999956,,
94,2000-06-22,,-487.9999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-487.9999999999999,-48799.999999999985,,
