,Distance,std,cuml_pnl,sharp_ratio
0,1,479008.68222262873,-1670.2176403207332,-0.1087141046345317
1,3,504206.84097274474,-2734.7615324472245,-0.1376419246238499
2,2,509118.0760018244,-3447.7223427331887,-0.17343717334381892
3,7,476735.7510504215,-3545.8036984352775,-0.18673866980574813
4,10,471866.44755872653,-3800.8762147522702,-0.20063939805386807
5,5,475164.7358834343,-3902.318750966146,-0.21082162129256699
6,12,444634.17072125524,-3861.8129218900676,-0.21444595642599787
7,4,489595.0206372345,-4343.2267168391345,-0.22452229979162502
8,8,469445.13241258834,-4154.361999379074,-0.2262245205402671
9,11,471903.5801704763,-4604.755944931164,-0.2475081879179762
10,6,484311.526813903,-5244.5390070921985,-0.2726550839471147
11,9,476248.92588621477,-5465.204957102002,-0.2866148196470947
