,Distance,std,cuml_pnl,sharp_ratio
0,1,483861.11739666463,-743.307125307125,-0.049621676834009434
1,5,484619.486937628,-1296.0542168674708,-0.07046765745182515
2,7,495587.70847547275,-1837.9606656580975,-0.09727844168755462
3,2,514250.81012722716,-1915.8929905843668,-0.09892060255075652
4,12,461268.65550437017,-2233.4783941158453,-0.12539330238417218
5,6,498167.64648072707,-2469.797766374888,-0.13035772286451044
6,10,492482.0613111783,-2495.4108858057625,-0.13188297625923245
7,11,478873.0555296066,-2788.789731051344,-0.1512300580785602
8,4,491986.79678823904,-3092.778862032728,-0.16616299570166482
9,3,511181.6813298899,-3288.1545835829834,-0.17040907994467772
10,8,487122.3265136112,-3289.649522075559,-0.17662914491273254
11,9,492621.24994556064,-3880.401459854016,-0.20555345513655823
