,Distance,std,cuml_pnl,sharp_ratio
0,9,217800.33091675196,1882.64349259655,0.22470700477818104
1,7,209868.73850817728,1408.7772765957448,0.17527498502863842
2,12,232167.67473287694,1066.5619935394554,0.11851245024380506
3,11,232841.6876909023,862.4990055248617,0.0957807865986851
4,8,204033.6665986598,667.1037953091684,0.08519064667004407
5,10,212577.20335861866,593.7098408812727,0.07243843533881768
6,6,213967.58991009212,524.5244897338403,0.06396066808880058
7,4,212461.0570599295,294.77090632140136,0.03614427089023609
8,5,208424.30785781247,278.87769863013705,0.03488431879529194
9,2,211304.46118854466,173.44432597105865,0.021383836264432635
10,3,213065.3896369618,80.46905487804878,0.009831488838094286
11,1,205198.5092410261,51.79209039548022,0.007977640802824646
