,Date,Value,Payload,Daily_Gain,Missing_Price,No_Tradable_Day,Market_Out,Change (%),Cum_Gain
0,1999-01-18,-1020.0,"{'long_future': 'LNF00', 'short_future': 'LNF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",,False,False,False,,
1,1999-01-19,-1020.0,"{'long_future': 'LNF00', 'short_future': 'LNF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",0.0,False,False,False,,0.0
2,1999-01-20,-1020.0,"{'long_future': 'LNF00', 'short_future': 'LNF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",0.0,False,False,False,,0.0
3,1999-01-21,-1020.0,"{'long_future': 'LNF00', 'short_future': 'LNF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",0.0,False,False,False,,0.0
4,1999-01-22,-1020.0,"{'long_future': 'LNF00', 'short_future': 'LNF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",0.0,False,False,False,,0.0
5,1999-01-25,-1020.0,"{'long_future': 'LNF00', 'short_future': 'LNF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",0.0,False,False,False,,0.0
6,1999-01-26,-1020.0,"{'long_future': 'LNF00', 'short_future': 'LNF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",0.0,False,False,False,,0.0
7,1999-01-27,-1020.0,"{'long_future': 'LNF00', 'short_future': 'LNF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",0.0,False,False,False,,0.0
8,1999-01-28,-1050.0,"{'long_future': 'LNF00', 'short_future': 'LNF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-150.0,False,False,False,-inf,-150.0
9,1999-01-29,-1050.0,"{'long_future': 'LNF00', 'short_future': 'LNF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",0.0,False,False,False,-1.0,-150.0
10,1999-02-01,-1050.0,"{'long_future': 'LNF00', 'short_future': 'LNF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",0.0,False,False,False,,-150.0
11,1999-02-02,-1050.0,"{'long_future': 'LNF00', 'short_future': 'LNF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",0.0,False,False,False,,-150.0
12,1999-02-03,-1020.0,"{'long_future': 'LNF00', 'short_future': 'LNF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",150.0,False,False,False,inf,0.0
13,1999-02-04,-1020.0,"{'long_future': 'LNF00', 'short_future': 'LNF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",0.0,False,False,False,-1.0,0.0
14,1999-02-05,-997.5,"{'long_future': 'LNF00', 'short_future': 'LNF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",112.5,False,False,False,inf,112.5
15,1999-02-08,-990.0,"{'long_future': 'LNF00', 'short_future': 'LNF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",37.5,False,False,False,-0.6666666666666667,150.0
16,1999-02-09,-1032.5,"{'long_future': 'LNF00', 'short_future': 'LNF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-212.5,False,False,False,-6.666666666666667,-62.5
17,1999-02-10,-1032.5,"{'long_future': 'LNF00', 'short_future': 'LNF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",0.0,False,False,False,-1.0,-62.5
18,1999-02-11,-1032.5,"{'long_future': 'LNF00', 'short_future': 'LNF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",0.0,False,False,False,,-62.5
19,1999-02-12,-1002.5,"{'long_future': 'LNF00', 'short_future': 'LNF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",150.0,False,False,False,inf,87.5
20,1999-02-15,-972.5,"{'long_future': 'LNF00', 'short_future': 'LNF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",150.0,False,False,False,0.0,237.5
21,1999-02-16,-972.5,"{'long_future': 'LNF00', 'short_future': 'LNF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",0.0,False,False,False,-1.0,237.5
22,1999-02-17,-972.5,"{'long_future': 'LNF00', 'short_future': 'LNF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",0.0,False,False,False,,237.5
