,Distance,std,cuml_pnl,sharp_ratio
0,8,36907.05482790907,96.25739872068226,0.06795557141295984
1,7,37422.936818015834,86.79791489361693,0.06056152169513675
2,5,37675.138153004766,72.22235616438351,0.04997831706291502
3,2,38267.494917615695,27.54354233409615,0.018722417068126208
4,4,38006.46708211403,5.35706321401369,0.003672006653459166
5,6,37100.400515194444,-0.6741718631178762,-0.0004741188708406577
6,1,35660.16053898888,-7.176631578947375,-0.006372938219151495
7,3,38034.01709835429,-25.88954268292686,-0.0177196639065812
8,10,36206.667271162805,-26.929608323133454,-0.01929092215997182
9,9,36696.04174223869,-100.16759578690281,-0.07096024193265328
10,12,36862.110411955684,-109.0782833410245,-0.07633746328010928
11,11,35775.05434679874,-224.7525966850829,-0.16244447719532334
