,Date,Value,Payload,Daily_Gain,Missing_Price,No_Tradable_Day,Market_Out,Change (%),Cum_Gain
0,1999-01-18,-312.5,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",,False,False,False,,
1,1999-01-19,-306.25,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",31.25,False,False,False,,31.25
2,1999-01-20,-305.0,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",6.25,False,False,False,-0.8,37.5
3,1999-01-21,-296.25,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",43.75,False,False,False,6.0,81.25
4,1999-01-22,-282.5,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",68.75,False,False,False,0.5714285714285714,150.0
5,1999-01-25,-287.5,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-25.0,False,False,False,-1.3636363636363638,125.0
6,1999-01-26,-287.5,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",0.0,False,False,False,-1.0,125.0
7,1999-01-27,-287.5,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",0.0,False,False,False,,125.0
8,1999-01-28,-286.25,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",6.25,False,False,False,inf,131.25
9,1999-01-29,-285.0,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",6.25,False,False,False,0.0,137.5
10,1999-02-01,-281.25,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",18.75,False,False,False,2.0,156.25
11,1999-02-02,-280.0,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",6.25,False,False,False,-0.6666666666666667,162.5
12,1999-02-03,-280.0,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",0.0,False,False,False,-1.0,162.5
13,1999-02-04,-275.0,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",25.0,False,False,False,inf,187.5
14,1999-02-05,-271.25,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",18.75,False,False,False,-0.25,206.25
15,1999-02-08,-261.25,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",50.0,False,False,False,1.6666666666666665,256.25
16,1999-02-09,-252.5,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",43.75,False,False,False,-0.125,300.0
17,1999-02-10,-263.75,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-56.25,False,False,False,-2.2857142857142856,243.75
18,1999-02-11,-252.5,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",56.25,False,False,False,-2.0,300.0
19,1999-02-12,-252.5,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",0.0,False,False,False,-1.0,300.0
20,1999-02-15,-256.25,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-18.75,False,False,False,-inf,281.25
21,1999-02-16,-277.5,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-106.25,False,False,False,4.666666666666667,175.0
22,1999-02-17,-291.25,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-68.75,False,False,False,-0.3529411764705882,106.25
23,1999-02-18,-303.75,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-62.5,False,False,False,-0.09090909090909094,43.75
24,1999-02-19,-282.5,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",106.25,False,False,False,-2.7,150.0
25,1999-02-22,-295.0,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-62.5,False,False,False,-1.5882352941176472,87.5
26,1999-02-23,-295.0,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",0.0,False,False,False,-1.0,87.5
27,1999-02-24,-292.5,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",12.5,False,False,False,inf,100.0
28,1999-02-25,-273.75,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",93.75,False,False,False,6.5,193.75
29,1999-02-26,-273.75,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",0.0,False,False,False,-1.0,193.75
30,1999-03-01,-287.5,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-68.75,False,False,False,-inf,125.0
31,1999-03-02,-280.0,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",37.5,False,False,False,-1.5454545454545454,162.5
32,1999-03-03,-272.5,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",37.5,False,False,False,0.0,200.0
33,1999-03-04,-258.75,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",68.75,False,False,False,0.8333333333333333,268.75
34,1999-03-05,-275.0,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-81.25,False,False,False,-2.1818181818181817,187.5
35,1999-03-08,-260.0,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",75.0,False,False,False,-1.9230769230769231,262.5
36,1999-03-09,-271.25,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-56.25,False,False,False,-1.75,206.25
37,1999-03-10,-258.75,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",62.5,False,False,False,-2.111111111111111,268.75
38,1999-03-11,-258.75,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",0.0,False,False,False,-1.0,268.75
39,1999-03-12,-258.75,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",0.0,False,False,False,,268.75
40,1999-03-15,-262.5,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-18.75,False,False,False,-inf,250.0
41,1999-03-16,-271.25,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-43.75,False,False,False,1.3333333333333335,206.25
42,1999-03-17,-262.5,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",43.75,False,False,False,-2.0,250.0
43,1999-03-18,-266.25,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-18.75,False,False,False,-1.4285714285714286,231.25
44,1999-03-19,-266.25,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",0.0,False,False,False,-1.0,231.25
45,1999-03-22,-265.0,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",6.25,False,False,False,inf,237.5
46,1999-03-23,-252.5,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",62.5,False,False,False,9.0,300.0
47,1999-03-24,-247.5,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",25.0,False,False,False,-0.6,325.0
48,1999-03-25,-253.75,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-31.25,False,False,False,-2.25,293.75
49,1999-03-26,-255.0,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-6.25,False,False,False,-0.8,287.5
50,1999-03-29,-260.0,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-25.0,False,False,False,3.0,262.5
51,1999-03-30,-270.0,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-50.0,False,False,False,1.0,212.5
52,1999-03-31,-273.75,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-18.75,False,False,False,-0.625,193.75
53,1999-04-01,-271.25,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",12.5,False,False,False,-1.6666666666666665,206.25
54,1999-04-02,-271.25,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",0.0,False,False,False,-1.0,206.25
55,1999-04-05,-271.25,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",0.0,False,False,False,,206.25
56,1999-04-06,-275.0,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-18.75,False,False,False,-inf,187.5
57,1999-04-07,-273.75,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",6.25,False,False,False,-1.3333333333333333,193.75
58,1999-04-08,-273.75,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",0.0,False,False,False,-1.0,193.75
59,1999-04-09,-272.5,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",6.25,False,False,False,inf,200.0
60,1999-04-12,-275.0,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-12.5,False,False,False,-3.0,187.5
61,1999-04-13,-257.5,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",87.5,False,False,False,-8.0,275.0
62,1999-04-14,-265.0,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-37.5,False,False,False,-1.4285714285714286,237.5
63,1999-04-15,-257.5,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",37.5,False,False,False,-2.0,275.0
64,1999-04-16,-255.0,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",12.5,False,False,False,-0.6666666666666667,287.5
65,1999-04-19,-248.75,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",31.25,False,False,False,1.5,318.75
66,1999-04-20,-262.5,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-68.75,False,False,False,-3.2,250.0
67,1999-04-21,-266.25,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-18.75,False,False,False,-0.7272727272727273,231.25
68,1999-04-22,-267.5,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-6.25,False,False,False,-0.6666666666666667,225.0
69,1999-04-23,-267.5,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",0.0,False,False,False,-1.0,225.0
70,1999-04-26,-268.75,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-6.25,False,False,False,-inf,218.75
71,1999-04-27,-273.75,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-25.0,False,False,False,3.0,193.75
72,1999-04-28,-261.25,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",62.5,False,False,False,-3.5,256.25
73,1999-04-29,-241.25,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",100.0,False,False,False,0.6000000000000001,356.25
74,1999-04-30,-233.75,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",37.5,False,False,False,-0.625,393.75
75,1999-05-03,-233.75,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",0.0,False,False,False,-1.0,393.75
76,1999-05-04,-253.75,"{'long_future': 'LPF00', 'short_future': 'LPF01', 'event': 'base', 'missing_price_flag': False, 'tradable_day': 0}",-100.0,False,False,False,-inf,293.75
