,Due,Future,Month
0,2000-01-31,GCG00,G
1,2000-03-31,GCJ00,J
2,2000-05-31,GCM00,M
3,2000-07-31,GCQ00,Q
4,2000-11-30,GCZ00,Z
5,2001-01-31,GCG01,G
6,2001-03-30,GCJ01,J
7,2001-05-31,GCM01,M
8,2001-07-31,GCQ01,Q
9,2001-11-30,GCZ01,Z
10,2002-01-31,GCG02,G
11,2002-03-28,GCJ02,J
12,2002-05-31,GCM02,M
13,2002-07-31,GCQ02,Q
14,2002-11-27,GCZ02,Z
15,2003-01-31,GCG03,G
16,2003-03-31,GCJ03,J
17,2003-05-30,GCM03,M
18,2003-07-31,GCQ03,Q
19,2003-11-26,GCZ03,Z
20,2004-01-30,GCG04,G
21,2004-03-31,GCJ04,J
22,2004-05-28,GCM04,M
23,2004-07-30,GCQ04,Q
24,2004-11-30,GCZ04,Z
25,2005-01-31,GCG05,G
26,2005-03-31,GCJ05,J
27,2005-05-31,GCM05,M
28,2005-07-29,GCQ05,Q
29,2005-11-30,GCZ05,Z
30,2006-01-31,GCG06,G
31,2006-03-31,GCJ06,J
32,2006-05-31,GCM06,M
33,2006-07-31,GCQ06,Q
34,2006-11-30,GCZ06,Z
35,2007-01-31,GCG07,G
36,2007-03-30,GCJ07,J
37,2007-05-31,GCM07,M
38,2007-07-31,GCQ07,Q
39,2007-11-30,GCZ07,Z
40,2008-01-31,GCG08,G
41,2008-03-31,GCJ08,J
42,2008-05-30,GCM08,M
43,2008-07-31,GCQ08,Q
44,2008-11-28,GCZ08,Z
45,2009-01-30,GCG09,G
46,2009-03-31,GCJ09,J
47,2009-05-29,GCM09,M
48,2009-07-31,GCQ09,Q
49,2009-11-30,GCZ09,Z
50,2010-01-29,GCG10,G
51,2010-03-31,GCJ10,J
52,2010-05-28,GCM10,M
53,2010-07-30,GCQ10,Q
54,2010-11-30,GCZ10,Z
55,2011-01-31,GCG11,G
56,2011-03-31,GCJ11,J
57,2011-05-31,GCM11,M
58,2011-07-29,GCQ11,Q
59,2011-11-30,GCZ11,Z
60,2012-01-31,GCG12,G
61,2012-03-30,GCJ12,J
62,2012-05-31,GCM12,M
63,2012-07-31,GCQ12,Q
64,2012-11-30,GCZ12,Z
65,2013-01-31,GCG13,G
66,2013-03-28,GCJ13,J
67,2013-05-31,GCM13,M
68,2013-07-31,GCQ13,Q
69,2013-11-29,GCZ13,Z
70,2014-01-31,GCG14,G
71,2014-03-31,GCJ14,J
72,2014-05-30,GCM14,M
73,2014-07-31,GCQ14,Q
74,2014-11-28,GCZ14,Z
75,2015-01-30,GCG15,G
76,2015-03-31,GCJ15,J
77,2015-05-29,GCM15,M
78,2015-07-31,GCQ15,Q
79,2015-11-30,GCZ15,Z
80,2016-01-29,GCG16,G
81,2016-03-31,GCJ16,J
82,2016-05-31,GCM16,M
83,2016-07-29,GCQ16,Q
84,2016-11-30,GCZ16,Z
85,2017-01-31,GCG17,G
86,2017-03-31,GCJ17,J
87,2017-05-31,GCM17,M
88,2017-07-31,GCQ17,Q
89,2017-11-30,GCZ17,Z
90,2018-01-31,GCG18,G
91,2018-03-29,GCJ18,J
92,2018-05-31,GCM18,M
93,2018-07-31,GCQ18,Q
94,2018-11-30,GCZ18,Z
95,2019-01-31,GCG19,G
96,2019-03-29,GCJ19,J
97,2019-05-31,GCM19,M
98,2019-07-31,GCQ19,Q
99,2019-11-29,GCZ19,Z
100,2020-01-31,GCG20,G
101,2020-03-31,GCJ20,J
102,2020-05-29,GCM20,M
103,2020-07-31,GCQ20,Q
104,2020-11-30,GCZ20,Z
105,2021-01-29,GCG21,G
106,2021-03-31,GCJ21,J
107,2021-05-28,GCM21,M
108,2021-07-30,GCQ21,Q
109,2021-11-30,GCZ21,Z
110,2022-01-31,GCG22,G
111,2022-03-31,GCJ22,J
112,2022-05-31,GCM22,M
113,2022-07-29,GCQ22,Q
114,2022-11-30,GCZ22,Z
115,2023-01-31,GCG23,G
116,2023-03-31,GCJ23,J
117,2023-05-31,GCM23,M
118,2023-07-31,GCQ23,Q
119,2023-10-31,GCZ23,Z
