,Distance,std,cuml_pnl,sharp_ratio
0,5,683216.9888391183,-1188.6118980169936,-0.04386600522174244
1,2,627702.9196199442,-2328.194020744356,-0.09649469216532139
2,1,610079.1851081223,-2600.448053766455,-0.12080399036551047
3,4,605059.8131196641,-3663.4965034965035,-0.15461281343022926
4,3,635127.6201732797,-3975.7924003707126,-0.16081807302307757
